well,Lat,Lon,x_utm,y_utm,Elev_m,Depth_m,Bottom_MSL,WL_m_MSL,Source
1642-04,-14.275877,-170.706783,531627,8421743,17.1,23.2,-6.1,7.3,Bentley 1975 appendix
1642-03,-14.276277,-170.70625,531684,8421698,13.6,24.4,-10.8,10.5,Bentley 1975 appendix
1642-02,-14.276734,-170.706041,531707,8421648,12.2,27.4,-15.2,8.2,Bentley 1975 appendix
Pago_107,-14.27862,-170.70548,531767,8421439,25.8,85.3,-59.5,20.3,Eyre 1991 and 1993
Pago_105,-14.277783,-170.705284,531788,8421532,23.1,83.8,-60.7,12.4,Eyre 1991 and 1993
PAGO-105,-14.27778,-170.70528,531789,8421532,23.1,83.8,-60.7,16.7,Log_well105_040895.pdf
1642-01,-14.276791,-170.70528,531789,8421641,12.2,61,-48.8,10.7,Bentley 1975 appendix
PAGOTANK-24,-14.26924,-170.70488,531833,8422477,66.1,99.1,-33,1.2,DRILLING SUPPORT Well Log # 24_After going deeper.doc
Pago_plaza_1-2,-14.272504,-170.703302,532003,8422115,2.4,56.4,-54,3,Eyre 1991 and 1993
Fagatogo_102,-14.280229,-170.693879,533018,8421260,43,54.9,-11.9,6.4,Eyre 1991 and 1993
Fagatogo_101,-14.28003,-170.6938,533026,8421282,43.8,54.9,-11.1,6.9,Eyre 1991 and 1993
FALU-179,-14.29103,-170.68893,533550,8420064,23.2,32,-8.8,2.7,DLog_Well179_031308.pdf
1741-01,-14.2898,-170.685104,533963,8420200,11.4,18.3,-6.9,6.1,Bentley 1975 appendix
UTULEI_3,-14.28032,-170.682991,534192,8421248,1.5,0,0,0.1,Eyre 1991 and 1993
VATI-170,-14.25455,-170.66925,535678,8424096,32.3,0,0,8.1,Pump_Well180_082811.pdf
VATI-180,-14.25476,-170.66857,535752,8424073,50.5,0,0,8.2,Pump_Well180_082811.pdf
1639-03,-14.26902,-170.662151,536442,8422495,6.1,3.8,2.3,5.1,Bentley 1975 appendix
Aua_95,-14.269062,-170.66177,536483,8422490,24.4,63.1,-38.7,6.1,Eyre 1991 and 1993
1639-02,-14.269674,-170.661764,536484,8422422,6.1,42.7,-36.6,5.5,Bentley 1975 appendix
AUA_98,-14.268362,-170.661314,536532,8422567,31.3,0,0,4.3,Eyre 1991 and 1993
AUA__97,-14.2687,-170.66118,536547,8422530,25.8,0,0,5.5,Eyre 1991 and 1993
LAU-96,-14.2834,-170.65285,537443,8420903,11,0,0,6,pump_test_96.pdf
Laulii_106,-14.282992,-170.651927,537542,8420948,16.2,113.4,-97.2,7.3,Eyre 1991 and 1993
Sailele_130,-14.257784,-170.596308,543546,8423726,10.7,20.1,-9.4,2.7,Eyre 1991 and 1993
1635-02,-14.273372,-170.588422,544394,8422000,10.7,25.9,-15.2,5.3,Bentley 1975 appendix
1534-01,-14.25284,-170.56952,546437,8424268,9.1,33.5,-24.4,3.1,Bentley 1975 appendix
TULA__108,-14.25173,-170.568548,546542,8424390,5.2,15.2,-10,3,Eyre 1991 and 1993
1633-01,-14.263938,-170.566626,546747,8423040,6.1,5.5,0.6,5.7,Bentley 1975 appendix
