Well #,Discharge pressure [PSI],Flow [GPM],Meter reading ,Chloride [mg/L],Time (type in) ,Date,Time actual
70,27,365,336960,30,810,1/19/16,8:10 AM
91,81,303,690620,25,740,1/19/16,7:40 AM
83,100,,,25,745,1/19/16,7:45 AM
93,83,245,651663,30,735,1/19/16,7:35 AM
168,95,239,737766,25,750,1/19/16,7:50 AM
169,100,376,104289,25,755,1/19/16,7:55 AM
119,78,250,897960,65,730,1/19/16,7:30 AM
128,,,,,,,
129,120,26,534035,20,850,1/19/16,8:50 AM
62,1,254,351911,120,720,1/19/16,7:20 AM
76,0,292,407414,115,715,1/19/16,7:15 AM
84,9,266,224788,340,705,1/19/16,7:05 AM
167,5,247,331713,110,710,1/19/16,7:10 AM
177,52,421,960919,150,835,1/19/16,8:35 AM
178,79,100,158226,30,830,1/19/16,8:30 AM
85,60,300,190980,30,910,1/19/16,9:10 AM
89,40,180,56437,30,915,1/19/16,9:15 AM
61,0,220,723274,80,650,1/19/16,6:50 AM
60,10,320,417690,85,645,1/19/16,6:45 AM
66,19,288,550027,100,640,1/19/16,6:40 AM
46,28,,28078,60,635,1/19/16,6:35 AM
33,20,200,272042,90,635,1/19/16,6:35 AM
77,13,273,370417,80,615,1/19/16,6:15 AM
72,0,230,120394,35,620,1/19/16,6:20 AM
81,10,,,30,625,1/19/16,6:25 AM
67,46,222,398286,30,920,1/19/16,9:20 AM
171,20,260,31307,360,1250,1/19/16,12:50 PM
172,23,260,488076,320,1255,1/19/16,12:55 PM
182,,,,,,,
179,32,26,764589,25,945,1/19/16,9:45 AM
101,50,520,170847,25,1010,1/19/16,10:10 AM
105,48,28,1765,30,1040,1/19/16,10:40 AM
107,46,389,559178,80,1035,1/19/16,10:35 AM
163,100,160,258082,920,1020,1/19/16,10:20 AM
165,79,201,242456,30,1050,1/19/16,10:50 AM
183,,,114905,,1058,1/19/16,10:58 AM
143,,,428509,,1110,1/19/16,11:10 AM
97,32,170,705379,1560,1135,1/19/16,11:35 AM
99,9,160,804295,980,1140,1/19/16,11:40 AM
176,,,,,,,
170,,,,,,,
180,,,,,,,
164,,,418265,,645,1/20/16,6:45 AM
241,,,,,,,
242,,,,,,,
151,35,,247987,65,718,1/20/16,7:18 AM
152,65,30,564389,400,725,1/20/16,7:25 AM
161,,,,,,,
104,40,20,230502,60,748,1/20/16,7:48 AM
302,,,,,,,
202,,,,,,,
204,,,,,,,
207,,,,,,,
213,,,,,,,
