Well #,Discharge pressure [PSI],Flow [GPM],Meter reading ,Chloride [mg/L],Time (type in) ,Date,Time actual
70,,,,,,,
91,,,,,,,
83,,,,,,,
93,,,,,,,
168,,,,,,,
169,,,,,,,
119,90,,77056,70,1340,1/22/15,1:40 PM
128,,,,,,,
129,,,,,,,
62,0,,25826,65,1320,1/22/15,1:20 PM
76,0,,91529,0,1310,1/22/15,1:10 PM
84,30,,36893,540,1245,1/22/15,12:45 PM
167,,,,,,,
177,65,,22878,340,1355,1/22/15,1:55 PM
178,,,,,,,
85,,,,,,,
89,,,,,,,
61,20,,61272,80,1215,1/22/15,12:15 PM
60,20,,25330,120,1205,1/22/15,12:05 PM
66,20,,41988,240,1140,1/22/15,11:40 AM
46,24,,2126,30,1130,1/22/15,11:30 AM
33,30,,19095,30,1125,1/22/15,11:25 AM
77,,,69658,45,1115,1/22/15,11:15 AM
72,0,,99288,20,1100,1/22/15,11:00 AM
81,0,,92317,20,1040,1/22/15,10:40 AM
67,,,,,,,
171,15,,89817,460,1415,1/22/15,2:15 PM
172,15,,35495,,1425,1/22/15,2:25 PM
182,,,,,,,
179,,,,,,,
101,,,,,,,
105,,,,,,,
107,,,,,,,
163,140,,19400,800,915,1/22/15,9:15 AM
165,,,,,,,
183,20,,5200,20,940,1/22/15,9:40 AM
143,,,,,,,
97,40,,59664,1500,835,1/22/15,8:35 AM
99,10,,73177,720,815,1/22/15,8:15 AM
176,,,,,,,
170,,,,,,,
180,,,,,,,
164,,,,,,,
241,,,,,,,
242,,,,,,,
151,,,,,,,
152,,,,,,,
161,,,,,,,
104,,,,,,,
302,,,,,,,
202,,,,,,,
204,,,,,,,
207,,,,,,,
213,,,,,,,
