Well #,Discharge pressure [PSI],Flow [GPM],Meter reading ,Chloride [mg/L],Time (type in) ,Date,Time actual
70,25,403,106438,40,849,2/1/16,8:49 AM
91,78,323,749832,25,822,2/1/16,8:22 AM
83,,,,25,828,2/1/16,8:28 AM
93,81,242,712805,30,818,2/1/16,8:18 AM
168,95,249,782718,25,834,2/1/16,8:34 AM
169,100,414,111859,25,840,2/1/16,8:40 AM
119,86,260,902797,240,805,2/1/16,8:05 AM
128,,,,,,,
129,120,26,358561,20,1034,2/1/16,10:34 AM
62,1,254,398881,90,755,2/1/16,7:55 AM
76,0,250,460330,115,745,2/1/16,7:45 AM
84,9,256,272145,440,725,2/1/16,7:25 AM
167,7,243,378143,100,735,2/1/16,7:35 AM
177,52,427,104164,300,1016,2/1/16,10:16 AM
178,82,95,176708,30,1012,2/1/16,10:12 AM
85,60,320,196361,30,1055,2/1/16,10:55 AM
89,40,170,59623,30,1102,2/1/16,11:02 AM
61,0,210,727236,260,710,2/1/16,7:10 AM
60,25,290,424043,240,705,2/1/16,7:05 AM
66,20,279,602590,300,655,2/1/16,6:55 AM
46,30,,28078,115,645,2/1/16,6:45 AM
33,26,190,275604,280,640,2/1/16,6:40 AM
77,14,268,420822,340,615,2/1/16,6:15 AM
72,0,240,124686,65,625,2/1/16,6:25 AM
81,1,306,294583,45,630,2/1/16,6:30 AM
67,44,232,433930,40,1108,2/1/16,11:08 AM
171,17,,,380,1127,2/1/16,11:27 AM
172,20,232,612,440,1135,2/1/16,11:35 AM
182,,,6684,,926,2/1/16,9:26 AM
179,56,26,769710,25,1132,2/1/16,11:32 AM
101,50,520,180815,40,1152,2/1/16,11:52 AM
105,44,114,173158,25,1217,2/1/16,12:17 PM
107,42,402,632689,80,1212,2/1/16,12:12 PM
163,65,200,260998,920,1205,2/1/16,12:05 PM
165,79,199,279853,25,1226,2/1/16,12:26 PM
183,8,230,116823,25,1231,2/1/16,12:31 PM
143,14,130,429694,25,1243,2/1/16,12:43 PM
97,25,220,709268,1540,1308,2/1/16,1:08 PM
99,10,140,806603,860,1316,2/1/16,1:16 PM
176,,,,,,,
170,,,,,,,
180,,,,,,,
164,60,30,923561,1520,707,2/2/16,7:07 AM
241,58,34,417943,25,733,2/2/16,7:33 AM
242,63,38,73642,25,744,2/2/16,7:44 AM
151,40,,247987,70,821,2/2/16,8:21 AM
152,72,27,569573,500,831,2/2/16,8:31 AM
161,,,,,,,
104,41,15,233523,50,852,2/2/16,8:52 AM
302,,,,,,,
202,,,,,,,
204,,,,,,,
207,,,,,,,
213,,,,,,,
