Well #,Discharge pressure [PSI],Flow [GPM],Meter reading ,Chloride [mg/L],Time (type in) ,Date,Time actual
70,17,420,567536,35,1420,10/13/15,2:20 PM
91,76,297,287227,35,1346,10/13/15,1:46 PM
83,95,270,474525,25,1356,10/13/15,1:56 PM
93,80,54,144961,25,1341,10/13/15,1:41 PM
168,110,196,400834,25,1402,10/13/15,2:02 PM
169,110,330,,30,1410,10/13/15,2:10 PM
119,85,260,860828,500,1345,10/13/15,1:45 PM
128,,,,,,,
129,123,28,502173,15,755,10/14/15,7:55 AM
62,0,212,472066,200,1330,10/13/15,1:30 PM
76,0,196,440537,125,1320,10/13/15,1:20 PM
84,4,260,488270,460,1300,10/13/15,1:00 PM
167,12,195,420111,110,1310,10/13/15,1:10 PM
177,50,438,367989,220,736,10/13/15,7:36 AM
178,82,92,351863,35,730,10/13/15,7:30 AM
85,60,320,147642,25,820,10/14/15,8:20 AM
89,52,160,33045,25,830,10/14/15,8:30 AM
61,0,220,693219,220,1245,10/13/15,12:45 PM
60,13,360,382270,240,1235,10/13/15,12:35 PM
66,20,271,180325,240,1225,10/13/15,12:25 PM
46,24,,28070,125,1215,10/13/15,12:15 PM
33,0,,258435,320,1205,10/13/15,12:05 PM
77,13,229,994806,220,1140,10/13/15,11:40 AM
72,0,250,87114,30,1145,10/13/15,11:45 AM
81,10,340,49018,25,1155,10/13/15,11:55 AM
67,52,181,149765,30,835,10/14/15,8:35 AM
171,32,260,996164,360,1430,10/14/15,2:30 PM
172,28,260,453087,320,1435,10/14/15,2:35 PM
182,,,,,,,
179,65,16,736189,25,900,10/14/15,9:00 AM
101,55,530,97815,30,920,10/14/15,9:20 AM
105,42,140,791700,30,950,10/14/15,9:50 AM
107,41,367,306671,100,940,10/14/15,9:40 AM
163,105,140,239764,820,930,10/14/15,9:30 AM
165,62,,,30,955,10/14/15,9:55 AM
183,28,250,107242,25,1000,10/14/15,10:00 AM
143,16,110,418087,20,1015,10/14/15,10:15 AM
97,20,130,676082,1460,1040,10/14/15,10:40 AM
99,10,140,785784,780,1045,10/14/15,10:45 AM
176,,,,,,10/14/15,
170,,,,,,10/14/15,
180,,,,,,10/14/15,
164,65,30,875128,1500,1105,10/14/15,11:05 AM
241,,,,,,10/14/15,
242,,,,,,10/14/15,
151,63,,247987,420,1140,10/14/15,11:40 AM
152,90,30,520416,420,1145,10/14/15,11:45 AM
161,,,,,,,
104,,,,,,,
302,,,,,,,
202,,,,,,,
204,,,,,,,
207,,,,,,,
213,,,,,,,
