Well #,Discharge pressure [PSI],Flow [GPM],Meter reading ,Chloride [mg/L],Time (type in) ,Date,Time actual
70,31,357,296590,35,1255,8/7/17,12:55 PM
91,79,282,208312,30,1230,8/7/17,12:30 PM
83,97,246,926190,25,1235,8/7/17,12:35 PM
93,79,327,277467,30,1225,8/7/17,12:25 PM
168,97,254,268887,25,1240,8/7/17,12:40 PM
169,110,407,425266,25,1245,8/7/17,12:45 PM
119,72,395,343326,90,958,8/7/17,9:58 AM
128,,,,,,,
129,140,24,732531,20,1140,8/7/17,11:40 AM
62,1,208,218451,130,1044,8/7/17,10:44 AM
76,0,254,245969,130,1052,8/7/17,10:52 AM
84,12,316,245484,620,1116,8/7/17,11:16 AM
167,9,219,207665,125,1104,8/7/17,11:04 AM
177,50,373,374437,320,1154,8/7/17,11:54 AM
178,85,95,935492,30,1203,8/7/17,12:03 PM
85,42,281,425971,35,1126,8/7/17,11:26 AM
89,25,,188186,30,1119,8/7/17,11:19 AM
61,0,272,320292,420,1410,8/7/17,2:10 PM
60,12,319,188153,380,1402,8/7/17,2:02 PM
66,22,289,252611,360,1344,8/7/17,1:44 PM
46,,,,,,,
33,22,270,453825,320,1352,8/7/17,1:52 PM
77,14,277,214193,560,1419,8/7/17,2:19 PM
72,0,290,335946,65,1430,8/7/17,2:30 PM
81,6,300,236536,35,1436,8/7/17,2:36 PM
67,39,217,160720,35,1114,8/7/17,11:14 AM
171,27,239,168927,460,1415,8/7/17,2:15 PM
172,25,222,166654,500,1420,8/7/17,2:20 PM
182,,,,,,,
179,80,13,900836,25,1051,8/7/17,10:51 AM
101,45,461,734654,35,1035,8/7/17,10:35 AM
105,38,102,562583,30,1007,8/7/17,10:07 AM
107,72,395,343326,90,958,8/7/17,9:58 AM
163,29,181,301439,1220,947,8/7/17,9:47 AM
165,71,219,181185,30,1015,8/7/17,10:15 AM
183,10,190,239738,25,1020,8/7/17,10:20 AM
143,,,484408,,1137,8/7/17,11:37 AM
97,15,160,853527,1640,913,8/7/17,9:13 AM
99,1,127,673419,1040,925,8/7/17,9:25 AM
176,10,110,138982,25,809,8/7/17,8:09 AM
170,41,12,179595,25,842,8/7/17,8:42 AM
180,10,17,437443,25,834,8/7/17,8:34 AM
164,67,30,147402,1580,737,8/7/17,7:37 AM
241,38,28,,25,949,8/7/17,9:49 AM
242,20,32,761753,,817,8/7/17,8:17 AM
151,40,,247987,135,1028,8/7/17,10:28 AM
152,55,26,765540,540,1035,8/7/17,10:35 AM
161,,,,,,,
104,,,,,,,
302,,,,,,,
202,,,,,,,
204,,,,,,,
207,,,,,,,
213,,,,,,,
