Well #,Discharge pressure [PSI],Flow [GPM],Meter reading ,Chloride [mg/L],Time (type in) ,Date,Time actual
70,25,417,559214,40,1125,9/29/15,11:25 AM
91,90,298,,30,1100,9/29/15,11:00 AM
83,92,280,469036,35,1110,9/29/15,11:10 AM
93,80,244,,30,1055,9/29/15,10:55 AM
168,107,240,,40,1115,9/29/15,11:15 AM
169,102,345,,35,1120,9/29/15,11:20 AM
119,80,160,856136,460,1045,9/29/15,10:45 AM
128,126,14,496730,25,1155,9/29/15,11:55 AM
129,,,,,,,
62,0,243,,240,1035,9/29/15,10:35 AM
76,0,,,120,1025,9/29/15,10:25 AM
84,28,290,482776,440,940,9/29/15,9:40 AM
167,0,,,110,955,9/29/15,9:55 AM
177,67,438,,220,1145,9/29/15,11:45 AM
178,90,97,,40,1140,9/29/15,11:40 AM
85,55,320,140962,30,1210,9/29/15,12:10 PM
89,46,160,29610,30,1220,9/29/15,12:20 PM
61,0,220,688747,320,855,9/29/15,8:55 AM
60,12,340,375240,300,845,9/29/15,8:45 AM
66,0,263,,360,835,9/29/15,8:35 AM
46,30,,28071,260,825,9/29/15,8:25 AM
33,0,190,256140,440,820,9/29/15,8:20 AM
77,0,237,,400,750,9/29/15,7:50 AM
72,0,240,82254,125,800,9/29/15,8:00 AM
81,0,320,42382,75,810,9/29/15,8:10 AM
67,54,197,,35,1230,9/29/15,12:30 PM
171,30,250,447529,420,925,9/29/15,9:25 AM
172,28,270,990724,340,915,9/29/15,9:15 AM
182,,,,,,,
179,80,9,733134,35,1255,9/29/15,12:55 PM
101,55,510,86705,55,1310,9/29/15,1:10 PM
105,42,110,790248,30,10158,9/30/15,10:58 AM
107,53,,,105,1335,9/29/15,1:35 PM
163,107,140,237339,820,1325,9/29/15,1:25 PM
165,60,,,30,1350,9/29/15,1:50 PM
183,30,240,104739,30,1355,9/29/15,1:55 PM
143,15,100,416137,20,945,9/29/15,9:45 AM
97,28,210,671756,1480,730,9/29/15,7:30 AM
99,13,160,783230,780,740,9/29/15,7:40 AM
144,3,110,26953,15,950,9/30/15,9:50 AM
170,,,,,,,
180,,,,,,,
164,60,32,868817,1360,805,9/30/15,8:05 AM
241,,,,,,,
242,60,,247987,620,840,9/30/15,8:40 AM
151,32,32,514447,600,850,9/30/15,8:50 AM
152,,,,,,,
161,,,,,,,
104,,,,,,,
302,,,,,,,
202,,,,,,,
204,,,,,,,
207,,,,,,,
213,,,,,,,
