Well #,Discharge pressure [PSI],Flow [GPM],Meter reading ,Chloride [mg/L],Time (type in) ,Date,Time actual
70,5,,,30,1140,12/7/15,11:40 AM
91,80,298,511442,25,1120,12/7/15,11:20 AM
83,100,,,20,1125,12/7/15,11:25 AM
93,83,254,335019,25,1115,12/7/15,11:15 AM
168,100,236,590247,20,1130,12/7/15,11:30 AM
169,110,329,809507,25,1135,12/7/15,11:35 AM
119,87,260,881715,55,1110,12/7/15,11:10 AM
128,,,,,,12/7/15,
129,120,26,518211,20,1220,12/7/15,12:20 PM
62,1,226,208465,200,1100,12/7/15,11:00 AM
76,0,152,226058,120,1053,12/7/15,10:53 AM
84,12,238,654781,380,1040,12/7/15,10:40 AM
167,8,243,207030,105,1046,12/7/15,10:46 AM
177,49,404,698398,200,1205,12/7/15,12:05 PM
178,81,96,128881,25,1155,12/7/15,11:55 AM
85,60,320,172022,25,1232,12/7/15,12:32 PM
89,45,170,46055,30,1240,12/7/15,12:40 PM
61,6,220,710187,260,1035,12/7/15,10:35 AM
60,14,330,407256,280,1020,12/7/15,10:20 AM
66,21,271,398232,240,1015,12/7/15,10:15 AM
46,27,,28078,50,1010,12/7/15,10:10 AM
33,19,200,260346,80,1003,12/7/15,10:03 AM
77,12,231,230886,100,943,12/7/15,9:43 AM
72,0,240,105942,25,951,12/7/15,9:51 AM
81,17,,,25,957,12/7/15,9:57 AM
67,51,198,295334,30,1245,12/7/15,12:45 PM
171,21,260,472290,440,905,12/7/15,9:05 AM
172,21,260,15689,340,900,12/7/15,9:00 AM
182,,,,,,12/7/15,
179,45,22,747884,25,1334,12/7/15,1:34 PM
101,55,480,138542,25,1350,12/7/15,1:50 PM
105,60,,,30,642,12/8/15,6:42 AM
107,45,400,328252,80,638,12/8/15,6:38 AM
163,100,150,248833,860,630,12/8/15,6:30 AM
165,80,198,136258,25,650,12/8/15,6:50 AM
183,,,111129,,700,12/8/15,7:00 AM
143,14,100,424723,20,710,12/8/15,7:10 AM
97,28,160,692768,1520,733,12/8/15,7:33 AM
99,,,796144,,745,12/8/15,7:45 AM
176,,,,,,12/8/15,
170,,,,,,12/8/15,
180,,,,,,12/8/15,
164,62,30,899703,1500,800,12/8/15,8:00 AM
241,,,,,,12/8/15,
242,,,,,,12/8/15,
151,40,,247987,65,820,12/8/15,8:20 AM
152,72,35,544988,560,825,12/8/15,8:25 AM
161,,,,,,12/8/15,
104,23,18,218444,45,850,12/8/15,8:50 AM
302,,,,,,12/8/15,
202,,,,,,12/8/15,
204,,,,840,927,12/8/15,9:27 AM
207,,,,,,,
213,,,,,,,
