Well #,Discharge pressure [PSI],Flow [GPM],Meter reading ,Chloride [mg/L],Time (type in) ,Date,Time actual
70,50,,,30,1025,11/23/15,10:25 AM
91,75,298,,30,1005,11/23/15,10:05 AM
83,100,,,25,1010,11/23/15,10:10 AM
93,79,240,285930,30,1000,11/23/15,10:00 AM
168,94,248,541750,25,1015,11/23/15,10:15 AM
169,100,394,732218,25,1020,11/23/15,10:20 AM
119,78,260,876369,460,952,11/23/15,9:52 AM
128,,,,,,11/23/15,
129,122,25,512989,20,920,11/23/15,9:20 AM
62,1,210,167108,220,1140,11/23/15,11:40 AM
76,0,243,176077,130,1145,11/23/15,11:45 AM
84,11,239,175707,380,1202,11/23/15,12:02 PM
167,9,218,166905,115,1153,11/23/15,11:53 AM
177,45,401,617613,200,936,11/23/15,9:36 AM
178,78,90,,25,942,11/23/15,9:42 AM
85,60,310,165686,25,1213,11/23/15,12:13 PM
89,40,170,42701,25,1221,11/23/15,12:21 PM
61,0,220,705970,240,1323,11/23/15,1:23 PM
60,12,300,400960,240,1317,11/23/15,1:17 PM
66,24,266,656270,260,1308,11/23/15,1:08 PM
46,30,,28070,130,1303,11/23/15,1:03 PM
33,21,,258435,280,1256,11/23/15,12:56 PM
77,13,229,185196,300,1248,11/23/15,12:48 PM
72,0,250,101135,45,1240,11/23/15,12:40 PM
81,15,,,35,1234,11/23/15,12:34 PM
67,46,190,262252,30,1226,11/23/15,12:26 PM
171,22,260,10701,360,1335,11/23/15,1:35 PM
172,22,260,467244,420,1342,11/23/15,1:42 PM
182,,,,,,,
179,46,22,744505,25,619,11/24/15,6:19 AM
101,50,530,128547,25,634,11/24/15,6:34 AM
105,60,,,30,700,11/24/15,7:00 AM
107,43,399,252614,90,655,11/24/15,6:55 AM
163,100,150,245968,860,649,11/24/15,6:49 AM
165,80,197,968810,30,708,11/24/15,7:08 AM
183,0,230,110672,25,716,11/24/15,7:16 AM
143,,,423550,,727,11/24/15,7:27 AM
97,26,210,688491,1600,750,11/24/15,7:50 AM
99,13,160,793502,940,755,11/24/15,7:55 AM
176,,,,,,11/24/15,
170,,,,,,11/24/15,
180,,,,,,11/24/15,
164,60,30,893450,1560,818,11/24/15,8:18 AM
241,,,,,,11/24/15,
242,,,,,,11/24/15,
151,45,,247987,80,839,11/24/15,8:39 AM
152,75,34,538141,560,849,11/24/15,8:49 AM
161,,,,,,11/24/15,12:00 AM
104,30,20,214608,65,915,11/24/15,9:15 AM
302,,,,,,,
202,,,,,,,
204,,,,,,,
207,,,,,,,
213,,,,,,,
