Well #,Discharge pressure [PSI],Flow [GPM],Meter reading ,Chloride [mg/L],Time (type in) ,Date,Time actual
70,25,389,193715,35,740,1/9/17,7:40 AM
91,79,326,719107,40,720,1/9/17,7:20 AM
83,97,275,24549,25,725,1/9/17,7:25 AM
93,83,324,192910,35,715,1/9/17,7:15 AM
168,96,259,199964,25,730,1/9/17,7:30 AM
169,100,413,309650,25,735,1/9/17,7:35 AM
119,78,270,29734,260,710,1/9/17,7:10 AM
128,,,,,,,
129,120,0,659473,20,631,1/9/17,6:31 AM
62,2,251,159592,105,901,1/9/17,9:01 AM
76,0,221,180917,150,905,1/9/17,9:05 AM
84,13,312,164112,520,915,1/9/17,9:15 AM
167,13,230,144252,110,910,1/9/17,9:10 AM
177,47,358,272720,300,655,1/9/17,6:55 AM
178,78,100,651780,30,701,1/9/17,7:01 AM
85,42,310,352841,30,618,1/9/17,6:18 AM
89,28,170,139417,30,611,1/9/17,6:11 AM
61,10,280,845029,480,940,1/9/17,9:40 AM
60,19,324,100369,360,935,1/9/17,9:35 AM
66,28,277,186121,360,930,1/9/17,9:30 AM
46,,,,,,,
33,25,260,383061,145,925,1/9/17,9:25 AM
77,20,162,151505,240,945,1/9/17,9:45 AM
72,5,320,250398,45,950,1/9/17,9:50 AM
81,23,310,151129,40,955,1/9/17,9:55 AM
67,46,218,100108,30,606,1/9/17,6:06 AM
171,23,257,105456,560,1410,1/9/17,2:10 PM
172,21,254,103007,700,1415,1/9/17,2:15 PM
182,,,8380,,820,1/9/17,8:20 AM
179,70,16,850244,25,1014,1/9/17,10:14 AM
101,26,510,439687,40,1031,1/9/17,10:31 AM
105,45,38,361664,45,1100,1/9/17,11:00 AM
107,42,385,248582,90,1050,1/9/17,10:50 AM
163,60,170,341187,1400,1043,1/9/17,10:43 AM
165,78,180,128095,30,1105,1/9/17,11:05 AM
183,12,240,196491,30,1110,1/9/17,11:10 AM
143,,,457812,,1120,1/9/17,11:20 AM
97,12,160,803051,2360,1300,1/9/17,1:00 PM
99,9,124,401321,1120,1250,1/9/17,12:50 PM
176,,,130562,,1155,1/9/17,11:55 AM
144,,,28272,,1120,1/9/17,11:20 AM
170,,,152774,,1215,1/9/17,12:15 PM
180,,,400246,,1215,1/9/17,12:15 PM
164,65,35,56512,1740,708,1/9/17,7:08 AM
241,75,32,579414,25,744,1/9/17,7:44 AM
242,50,36,205650,25,750,1/9/17,7:50 AM
151,40,0,247987,85,818,1/9/17,8:18 AM
152,86,30,85067,520,825,1/9/17,8:25 AM
161,,,,,,,
104,15,10,280661,70,910,1/9/17,9:10 AM
302,,,,,,,
202,,,,,,,
204,,,,,,,
207,,,,,,,
213,,,,,,,
