Well #,Discharge pressure [PSI],Flow [GPM],Meter reading ,Chloride [mg/L],Time (type in) ,Date,Time actual
70,50,,,30,800,1/12/16,8:00 AM
91,74,275,661508,30,735,1/12/16,7:35 AM
83,100,,,25,740,1/12/16,7:40 AM
93,78,256,462104,30,730,1/12/16,7:30 AM
168,94,239,713664,25,745,1/12/16,7:45 AM
169,100,429,1004951,20,750,1/12/16,7:50 AM
119,78,260,895318,70,725,1/12/16,7:25 AM
128,,,,,,,
129,120,25,531499,15,840,1/12/16,8:40 AM
62,1,230,326588,95,715,1/12/16,7:15 AM
76,0,285,377171,110,710,1/12/16,7:10 AM
84,8,271,198487,320,655,1/12/16,6:55 AM
167,7,238,307237,100,705,1/12/16,7:05 AM
177,52,421,918133,145,820,1/12/16,8:20 AM
178,80,94,149587,25,815,1/12/16,8:15 AM
85,60,300,183890,25,855,1/12/16,8:55 AM
89,40,160,54730,25,905,1/12/16,9:05 AM
61,0,200,721145,90,640,1/12/16,6:40 AM
60,25,250,414246,95,635,1/12/16,6:35 AM
66,22,282,521324,125,630,1/12/16,6:30 AM
46,30,,28078,35,625,1/12/16,6:25 AM
33,,190,270133,60,620,1/12/16,6:20 AM
77,16,264,343380,40,605,1/12/16,6:05 AM
72,0,240,118078,30,610,1/12/16,6:10 AM
81,20,190,,25,615,1/12/16,6:15 AM
67,44,228,382846,25,910,1/12/16,9:10 AM
171,20,260,28707,320,1240,1/12/16,12:40 PM
172,20,260,485449,300,1245,1/12/16,12:45 PM
182,,,,,,,
179,23,28,761867,25,940,1/12/16,9:40 AM
101,50,520,165548,30,1000,1/12/16,10:00 AM
105,50,,,25,1020,1/12/16,10:20 AM
107,5,376,520437,80,1015,1/12/16,10:15 AM
163,100,150,526532,960,1010,1/12/16,10:10 AM
165,80,200,222389,25,1025,1/12/16,10:25 AM
183,,,114881,,1030,1/12/16,10:30 AM
143,,,427903,,1045,1/12/16,10:45 AM
97,35,160,703292,1600,1120,1/12/16,11:20 AM
99,8,180,802784,920,1125,1/12/16,11:25 AM
176,,,,,,,
170,,,,,,,
180,,,,,,,
164,63,30,915931,1500,900,1/13/16,9:00 AM
241,,,,,,,
242,,,,,,,
151,40,,247987,65,930,1/13/16,9:30 AM
152,70,30,561505,480,935,1/13/16,9:35 AM
161,,,,,,,
104,32,20,228571,60,950,1/13/16,9:50 AM
302,,,,,,,
202,,,,,,,
204,,,,,,,
207,,,,,,,
213,,,,,,,
