Well #,Discharge pressure [PSI],Flow [GPM],Meter reading ,Chloride [mg/L],Time (type in) ,Date,Time actual
70,,,,,,,
91,,,,,,,
83,,,,,,,
93,,,,,,,
168,,,,,,,
169,,,,,,,
119,90,260,77480,,1135,2/4/15,11:35 AM
128,,,,,,,
129,,,,,,,
62,0,270,26284,,1120,2/4/15,11:20 AM
76,0,360,92208,,1110,2/4/15,11:10 AM
84,25,280,37478,,1100,2/4/15,11:00 AM
167,,,,,,,
177,60,380,23575,,1150,2/4/15,11:50 AM
178,,,,,,,
85,,,,,,,
89,,,,,,,
61,0,200,61679,,1045,2/4/15,10:45 AM
60,10,350,25970,,1035,2/4/15,10:35 AM
66,10,260,42528,,1025,2/4/15,10:25 AM
46,15,90,2332,,1015,2/4/15,10:15 AM
33,20,220,19473,,1010,2/4/15,10:10 AM
77,15,,74819,,955,2/4/15,9:55 AM
72,15,280,99783,,945,2/4/15,9:45 AM
81,0,330,92956,,935,2/4/15,9:35 AM
67,,,,,,,
171,20,260,90268,,1210,2/4/15,12:10 PM
172,20,270,35951,,1220,2/4/15,12:20 PM
182,,,,,,,
179,,,,,,,
101,,,,,,,
105,,,,,,,
107,,,,,,,
163,100,140,19621,,800,2/4/15,8:00 AM
165,,,,,,,
183,,,,,,,
143,,,,,,,
97,40,160,60052,,835,2/4/15,8:35 AM
99,10,160,73477,,825,2/4/15,8:25 AM
176,,,,,,,
170,,,,,,,
180,,,,,,,
164,,,,,,,
241,,,,,,,
242,,,,,,,
151,,,,,,,
152,,,,,,,
161,,,,,,,
104,,,,,,,
302,,,,,,,
202,,,,,,,
204,,,,,,,
207,,,,,,,
213,,,,,,,
