Well #,Discharge pressure [PSI],Flow [GPM],Meter reading ,Chloride [mg/L],Time (type in) ,Date,Time actual
70,,,,,,,
91,,,,,,,
83,,,,,,,
93,,,,,,,
168,,,,,,,
169,,,,,,,
119,84,283,803777,40,1356,4/28/15,1:56 PM
128,,,,,,,
129,,,,,,,
62,0,262,292072,40,1407,4/28/15,2:07 PM
76,0,338,961937,115,1415,4/28/15,2:15 PM
84,23,320,413310,380,1427,4/28/15,2:27 PM
167,2,244,984246,110,824,4/28/15,8:24 AM
177,65,396,284650,220,1324,4/28/15,1:24 PM
178,71,100,368359,20,1339,4/28/15,1:39 PM
85,,,,,,,
89,,,,,,,
61,12,201,642512,145,720,4/28/15,7:20 AM
60,12,330,299957,145,712,4/28/15,7:12 AM
66,17,292,459945,240,52,4/28/15,12:52 AM
46,17,102,26296,50,649,4/28/15,6:49 AM
33,20.8,154,218845,60,643,4/28/15,6:43 AM
77,21,206,10614993,60,728,4/28/15,7:28 AM
72,0,227,27951,20,735,4/28/15,7:35 AM
81,1,317,968951,20,746,4/28/15,7:46 AM
67,,,,,,,
171,17,260,934093,380,1445,4/28/15,2:45 PM
172,16,270,391239,460,1454,4/28/15,2:54 PM
182,,,,,,,
179,,,,,,,
101,,,,,,,
105,,,,,,,
107,,,,,,,
163,90,145,210762,820,1008,4/28/15,10:08 AM
165,,,,,,,
183,,,,,,,
143,,,,,,,
97,28,193,265992,1400,1048,4/28/15,10:48 AM
99,10,170,752585,820,1038,4/28/15,10:38 AM
176,,,,,,,
170,,,,,,,
180,,,,,,,
164,,,,,,,
241,,,,,,,
242,,,,,,,
151,,,,,,,
152,,,,,,,
161,,,,,,,
104,,,,,,,
302,,,,,,,
202,,,,,,,
204,,,,,,,
207,,,,,,,
213,,,,,,,
