Well #,Discharge pressure [PSI],Flow [GPM],Meter reading ,Chloride [mg/L],Time (type in) ,Date,Time actual
70,,,,,,,
91,,,,,,,
83,,,,,,,
93,,,,,,,
168,,,,,,,
169,,,,,,,
119,86,260,78208,85,1145,2/25/15,11:45 AM
128,,,,,,,
129,,,,,,,
62,0,260,27025,70,1120,2/25/15,11:20 AM
76,0,340,93285,120,1110,2/25/15,11:10 AM
84,20,320,38435,520,1055,2/25/15,10:55 AM
167,,,,,,,
177,60,380,24812,300,1155,2/25/15,11:55 AM
178,,,,,,,
85,,,,,,,
89,,,,,,,
61,0,240,62336,260,1020,2/25/15,10:20 AM
60,10,340,27000,280,1010,2/25/15,10:10 AM
66,15,250,43401,320,1000,2/25/15,10:00 AM
46,15,,2454,65,950,2/25/15,9:50 AM
33,20,220,20098,90,945,2/25/15,9:45 AM
77,15,260,83156,100,920,2/25/15,9:20 AM
72,0,270,563,25,930,2/25/15,9:30 AM
81,0,340,93953,25,935,2/25/15,9:35 AM
67,,,,,,,
171,15,260,91047,440,1230,2/25/15,12:30 PM
172,15,240,36741,480,1240,2/25/15,12:40 PM
182,,,,,,,
179,,,,,,,
101,,,,,,,
105,,,,,,,
107,,,,,,,
163,90,160,19990,840,735,2/25/15,7:35 AM
165,,,,,,,
183,,,,,,,
143,,,,,,,
97,20,240,60691,1520,820,2/25/15,8:20 AM
99,10,160,73965,860,810,2/25/15,8:10 AM
176,,,,,,,
170,,,,,,,
180,,,,,,,
164,,,,,,,
241,,,,,,,
242,,,,,,,
151,,,,,,,
152,,,,,,,
161,,,,,,,
104,,,,,,,
302,,,,,,,
202,,,,,,,
204,,,,,,,
207,,,,,,,
213,,,,,,,
