Well #,Discharge pressure [PSI],Flow [GPM],Meter reading ,Chloride [mg/L],Time (type in) ,Date,Time actual
70,82,420,506221,25,1025,7/1/15,10:25 AM
91,80,240,1357150,20,940,7/1/15,9:40 AM
83,95,270,434217,20,950,7/1/15,9:50 AM
93,75,,119727,25,945,7/1/15,9:45 AM
168,112,251,,20,955,7/1/15,9:55 AM
169,107,322,,20,1000,7/1/15,10:00 AM
119,85,250,826660,85,930,7/1/15,9:30 AM
128,,,,,,,
129,,,,,,,
62,0,260,314410,80,915,7/1/15,9:15 AM
76,0,340,991883,95,910,7/1/15,9:10 AM
84,20,290,442448,460,850,7/1/15,8:50 AM
167,0,240,6466,115,900,7/1/15,9:00 AM
177,65,,157289,240,1100,7/1/15,11:00 AM
178,90,100,377544,30,1045,7/1/15,10:45 AM
85,58,340,91763,30,1110,7/1/15,11:10 AM
89,46,190,7909,25,1115,7/1/15,11:15 AM
61,10,220,662113,240,840,7/1/15,8:40 AM
60,12,340,330747,220,835,7/1/15,8:35 AM
66,10,280,487046,280,825,7/1/15,8:25 AM
46,20,0,27728,75,815,7/1/15,8:15 AM
33,0,200,237231,130,810,7/1/15,8:10 AM
77,20,270,1308410,115,800,7/1/15,8:00 AM
72,0,160,50792,25,745,7/1/15,7:45 AM
81,0,280,999732,20,755,7/1/15,7:55 AM
67,48,220,391040,25,1125,7/1/15,11:25 AM
171,18,270,957706,400,1150,7/1/15,11:50 AM
172,20,270,414801,460,1155,7/1/15,11:55 AM
182,,,,,,,
179,56,14,714001,30,1405,7/1/15,2:05 PM
101,55,530,19201,25,1250,7/1/15,12:50 PM
105,50,110,777521,25,1315,7/1/15,1:15 PM
107,60,370,153658,30,1310,7/1/15,1:10 PM
163,97,140,227936,820,1300,7/1/15,1:00 PM
165,86,210,66851,25,1320,7/1/15,1:20 PM
183,,,,,,,
143,,,,,,,
97,25,220,645386,1440,1355,7/1/15,1:55 PM
99,13,150,765529,860,1345,7/1/15,1:45 PM
176,,,,,,,
170,,,,,,,
180,,,,,,,
164,,,,,,,
241,,,,,,,
242,,,,,,,
151,,,,,,,
152,,,,,,,
161,,,,,,,
104,,,,,,,
302,,,,,,,
202,,,,,,,
204,,,,,,,
207,,,,,,,
213,,,,,,,
