Well #,Discharge pressure [PSI],Flow [GPM],Meter reading ,Chloride [mg/L],Time (type in) ,Date,Time actual
70,,,,,,,
91,,,,,,,
83,,,,,,,
93,,,,,,,
168,,,,,,,
169,,,,,,,
119,89,243,819099,85,1029,6/10/15,10:29 AM
128,,,,,,,
129,,,,,,,
62,0,261,268371,90,1016,6/10/15,10:16 AM
76,0,298,982307,135,1006,6/10/15,10:06 AM
84,17,317,433173,317,958,6/10/15,9:58 AM
167,8,248,999188,115,922,6/10/15,9:22 AM
177,63,401,310230,260,1045,6/10/15,10:45 AM
178,,,,,,,
85,,,,,,,
89,,,,,,,
61,5,215,655682,280,818,6/10/15,8:18 AM
60,9,338,320879,240,813,6/10/15,8:13 AM
66,14,295,478162,340,8005,6/10/15,8:05 AM
46,15,86,27728,100,8001,6/10/15,8:01 AM
33,22,217,230965,320,756,6/10/15,7:56 AM
77,16,272,12277584,220,824,6/10/15,8:24 AM
72,0,247,43337,40,837,6/10/15,8:37 AM
81,1,332,989625,30,849,6/10/15,8:49 AM
67,,,,,,,
171,25,262,950057,420,1503,6/10/15,3:03 PM
172,23,250,407107,500,1453,6/10/15,2:53 PM
182,,,,,,,
179,,,,,,,
101,,,,,,,
105,,,,,,,
107,,,,,,,
163,106,143,218263,860,1244,6/10/15,12:44 PM
165,,,,,,,
183,,,,,,,
143,,,,,,,
97,26,229,638986,1660,1334,6/10/15,1:34 PM
99,8,165,761403,880,1328,6/10/15,1:28 PM
176,,,,,,,
170,,,,,,,
180,,,,,,,
164,,,,,,,
241,,,,,,,
242,,,,,,,
151,,,,,,,
152,,,,,,,
161,,,,,,,
104,,,,,,,
302,,,,,,,
202,,,,,,,
204,,,,,,,
207,,,,,,,
213,,,,,,,
