Well #,Discharge pressure [PSI],Flow [GPM],Meter reading ,Chloride [mg/L],Time (type in) ,Date,Time actual
70,,,,,,,
91,,,,,,,
83,,,,,,,
93,,,,,,,
168,,,,,,,
169,,,,,,,
119,90,240,801233,,1140,4/21/15,11:40 AM
128,,,,,,,
129,,,,,,,
62,0,260,28958,,1155,4/21/15,11:55 AM
76,0,350,958457,,1210,4/21/15,12:10 PM
84,20,320,410043,,1240,4/21/15,12:40 PM
167,0,240,982082,,1225,4/21/15,12:25 PM
177,65,420,280376,,1055,4/21/15,10:55 AM
178,90,100,367341,30,1110,4/21/15,11:10 AM
85,,,,,,,
89,,,,,,,
61,15,220,640472,,1415,4/21/15,2:15 PM
60,15,340,296736,,1410,4/21/15,2:10 PM
66,20,240,457141,,1355,4/21/15,1:55 PM
46,0,0,25513,,1350,4/21/15,1:50 PM
33,0,220,217429,,1345,4/21/15,1:45 PM
77,20,240,103675,,1425,4/21/15,2:25 PM
72,0,260,25550,,1430,4/21/15,2:30 PM
81,0,320,965701,,1440,4/21/15,2:40 PM
67,,,,,,,
171,10,280,931400,,1335,4/21/15,1:35 PM
172,10,280,388517,,1320,4/21/15,1:20 PM
182,,,,,,,
179,,,,,,,
101,,,,,,,
105,,,,,,,
107,,,,,,,
163,90,160,209523,860,855,4/21/15,8:55 AM
165,,,,,,,
183,,,,,,,
143,,,,,,,
97,13,240,623787,1560,940,4/21/15,9:40 AM
99,10,180,751265,840,935,4/21/15,9:35 AM
176,,,,,,,
170,,,,,,,
180,,,,,,,
164,,,,,,,
241,,,,,,,
242,,,,,,,
151,,,,,,,
152,,,,,,,
161,,,,,,,
104,,,,,,,
302,,,,,,,
202,,,,,,,
204,,,,,,,
207,,,,,,,
213,,,,,,,
