Well #,Discharge pressure [PSI],Flow [GPM],Meter reading ,Chloride [mg/L],Time (type in) ,Date,Time actual
70,,,,,,,
91,,,,,,,
83,,,,,,,
93,,,,,,,
168,,,,,,,
169,,,,,,,
119,90,252,809397,45,810,5/12/15,8:10 AM
128,,,,,,,
129,,,,,,,
62,0,263,267586,75,758,5/12/15,7:58 AM
76,0,318,969567,115,745,5/12/15,7:45 AM
84,23,317,420667,420,833,5/12/15,8:33 AM
167,,,,,,,
177,67,413,294243,240,1218,5/12/15,12:18 PM
178,,,,,,,
85,,,,,,,
89,,,,,,,
61,11,212,646839,150,1022,5/12/15,10:22 AM
60,11,333,306805,150,1014,5/12/15,10:14 AM
66,16,296,465925,280,1006,5/12/15,10:06 AM
46,22,,27728,60,1002,5/12/15,10:02 AM
33,26,208,222247,80,955,5/12/15,9:55 AM
77,23,274,11165817,95,1258,5/12/15,12:58 PM
72,0,258,33024,30,1246,5/12/15,12:46 PM
81,1,327,975715,25,1250,5/12/15,12:50 PM
67,,,,,,,
171,23,251,939715,440,1140,5/12/15,11:40 AM
172,23,268,396759,440,1152,5/12/15,11:52 AM
182,,,,,,,
179,,,,,,,
101,,,,,,,
105,,,,,,,
107,,,,,,,
163,96,144,213176,960,838,5/12/15,8:38 AM
165,,,,,,,
183,,,,,,,
143,,,,,,,
97,32,201,603158,1400,909,5/12/15,9:09 AM
99,12,167,755445,800,902,5/12/15,9:02 AM
176,,,,,,,
170,,,,,,,
180,,,,,,,
164,,,,,,,
241,,,,,,,
242,,,,,,,
151,,,,,,,
152,,,,,,,
161,,,,,,,
104,,,,,,,
302,,,,,,,
202,,,,,,,
204,,,,,,,
207,,,,,,,
213,,,,,,,
