Well #,Discharge pressure [PSI],Flow [GPM],Meter reading ,Chloride [mg/L],Time (type in) ,Date,Time actual
70,80,400,510964,30,1130,7/9/15,11:30 AM
91,75,,126932,25,1115,7/9/15,11:15 AM
83,95,260,437317,20,1120,7/9/15,11:20 AM
93,80,260,1385520,25,1110,7/9/15,11:10 AM
168,108,230,,20,1120,7/9/15,11:20 AM
169,102,300,,20,1125,7/9/15,11:25 AM
119,86,250,829565,90,1105,7/9/15,11:05 AM
128,,,,,,,
129,,,,,,,
62,0,250,317233,120,1055,7/9/15,10:55 AM
76,0,320,995563,95,1050,7/9/15,10:50 AM
84,20,300,446001,500,1030,7/9/15,10:30 AM
167,0,240,9199,110,1040,7/9/15,10:40 AM
177,65,,167066,280,1215,7/9/15,12:15 PM
178,90,100,378698,30,1205,7/9/15,12:05 PM
85,58,330,95589,25,1225,7/9/15,12:25 PM
89,45,180,9897,20,1235,7/9/15,12:35 PM
61,0,210,663432,260,1010,7/9/15,10:10 AM
60,10,350,334747,220,1000,7/9/15,10:00 AM
66,0,300,490467,300,955,7/9/15,9:55 AM
46,12,0,27728,65,950,7/9/15,9:50 AM
33,0,220,239711,150,945,7/9/15,9:45 AM
77,15,280,1339478,120,935,7/9/15,9:35 AM
72,0,250,53658,25,925,7/9/15,9:25 AM
81,0,340,3575,25,920,7/9/15,9:20 AM
67,45,230,393684,30,1245,7/9/15,12:45 PM
171,26,260,960599,400,1305,7/9/15,1:05 PM
172,26,240,417699,460,1315,7/9/15,1:15 PM
182,,,,,,,
179,68,16,716324,25,850,7/9/15,8:50 AM
101,60,520,25040,30,830,7/9/15,8:30 AM
105,56,100,778646,30,800,7/9/15,8:00 AM
107,56,340,157544,25,755,7/9/15,7:55 AM
163,100,140,223255,980,745,7/9/15,7:45 AM
165,95,200,69175,30,810,7/9/15,8:10 AM
183,18,220,92592,25,815,7/9/15,8:15 AM
143,,,,,,,
97,30,200,647639,1480,725,7/9/15,7:25 AM
99,,,767083,,720,7/9/15,7:20 AM
176,,,,,,,
170,,,,,,,
180,,,,,,,
164,,,,,,,
241,,,,,,,
242,,,,,,,
151,,,,,,,
152,,,,,,,
161,,,,,,,
104,,,,,,,
302,,,,,,,
202,,,,,,,
204,,,,,,,
207,,,,,,,
213,,,,,,,
