Well #,Discharge pressure [PSI],Flow [GPM],Meter reading ,Chloride [mg/L],Time (type in) ,Date,Time actual
70,82,400,534377,30,1120,8/18/15,11:20 AM
91,75,,,25,1040,8/18/15,10:40 AM
83,95,270,452804,20,1050,8/18/15,10:50 AM
93,80,260,153393,25,1035,8/18/15,10:35 AM
168,110,273,,20,1100,8/18/15,11:00 AM
169,105,330,,25,1110,8/18/15,11:10 AM
119,84,260,844053,110,1025,8/18/15,10:25 AM
128,120,27,482278,25,1200,8/18/15,12:00 PM
129,,,,,,,
62,0,260,331928,110,925,8/18/15,9:25 AM
76,0,320,14025,120,920,8/18/15,9:20 AM
84,25,210,463805,500,905,8/18/15,9:05 AM
167,,,22453,,915,8/18/15,9:15 AM
177,60,446,,200,1145,8/18/15,11:45 AM
178,85,100,384471,30,1135,8/18/15,11:35 AM
85,50,420,118463,25,1215,8/18/15,12:15 PM
89,46,170,19601,30,1225,8/18/15,12:25 PM
61,0,220,675686,240,850,8/18/15,8:50 AM
60,10,340,354430,200,840,8/18/15,8:40 AM
66,0,300,507315,260,830,8/18/15,8:30 AM
46,25,,28070,65,820,8/18/15,8:20 AM
33,0,200,243985,110,815,8/18/15,8:15 AM
77,22,270,144009,40,810,8/18/15,8:10 AM
72,0,240,67707,25,750,8/18/15,7:50 AM
81,8,320,22626,25,800,8/18/15,8:00 AM
67,48,,,30,1235,8/18/15,12:35 PM
171,20,270,975347,360,1000,8/18/15,10:00 AM
172,20,270,432509,440,950,8/18/15,9:50 AM
182,,,,,,,
179,58,20,724371,25,715,8/19/15,7:15 AM
101,55,520,55670,30,735,8/19/15,7:35 AM
105,58,100,784673,30,805,8/19/15,8:05 AM
107,65,340,179126,35,755,8/19/15,7:55 AM
163,105,140,230396,820,745,8/19/15,7:45 AM
165,78,220,81698,30,815,8/19/15,8:15 AM
183,18,210,96954,25,825,8/19/15,8:25 AM
143,10,120,409940,20,840,8/19/15,8:40 AM
97,27,220,659642,1500,925,8/19/15,9:25 AM
99,13,150,774817,840,910,8/19/15,9:10 AM
176,,,,,,,
170,,,,,,,
180,,,,,,,
164,,,,,,,
241,,,,,,,
242,,,,,,,
151,,,,,,,
152,,,,,,,
161,,,,,,,
104,,,,,,,
302,,,,,,,
202,,,,,,,
204,,,,,,,
207,,,,,,,
213,,,,,,,
