Well #,Discharge pressure [PSI],Flow [GPM],Meter reading ,Chloride [mg/L],Time (type in) ,Date,Time actual
70,28,344,221215,35,1055,3/6/17,10:55 AM
91,84,305,202258,30,1020,3/6/17,10:20 AM
83,102,253,444384,25,1025,3/6/17,10:25 AM
93,87,319,217016,30,1015,3/6/17,10:15 AM
168,100,228,217386,25,1035,3/6/17,10:35 AM
169,120,392,340428,25,1040,3/6/17,10:40 AM
119,78,260,49413,95,1010,3/6/17,10:10 AM
128,,,,,,,
129,120,25,676638,25,1150,3/6/17,11:50 AM
62,2,165,175089,60,957,3/6/17,9:57 AM
76,0,227,199013,105,948,3/6/17,9:48 AM
84,3,239,187243,460,925,3/6/17,9:25 AM
167,10,217,161771,120,936,3/6/17,9:36 AM
177,49,384,300036,220,1115,3/6/17,11:15 AM
178,81,96,726457,30,1110,3/6/17,11:10 AM
85,42,300,376620,35,1125,3/6/17,11:25 AM
89,20,180,152551,35,1130,3/6/17,11:30 AM
61,10,260,866011,320,845,3/6/17,8:45 AM
60,14,313,125058,280,840,3/6/17,8:40 AM
66,23,267,204174,280,835,3/6/17,8:35 AM
46,,,,,,,
33,17,260,402377,100,830,3/6/17,8:30 AM
77,15,,,260,825,3/6/17,8:25 AM
72,0,310,273266,30,820,3/6/17,8:20 AM
81,18,300,173970,30,815,3/6/17,8:15 AM
67,46,215,116277,35,1130,3/6/17,11:30 AM
171,24,239,122053,440,1420,3/6/17,2:20 PM
172,22,229,116997,540,1425,3/6/17,2:25 PM
182,,,8848,,1230,3/6/17,12:30 PM
179,60,20,862575,30,1050,3/6/17,10:50 AM
101,36,530,478581,45,702,3/6/17,7:02 AM
105,42,98,431973,30,1215,3/6/17,12:15 PM
107,44,385,275416,80,1210,3/6/17,12:10 PM
163,50,0,0,1120,1200,3/6/17,12:00 PM
165,72,195,142634,25,1230,3/6/17,12:30 PM
183,10,190,209615,25,1245,3/6/17,12:45 PM
143,13,120,464187,25,1143,3/6/17,11:43 AM
97,12,200,816087,1460,950,3/6/17,9:50 AM
99,4,131,488851,1000,955,3/6/17,9:55 AM
176,,,132579,,709,3/6/17,7:09 AM
144,,,28272,,1143,3/6/17,11:43 AM
170,42,14,158997,30,747,3/6/17,7:47 AM
180,0,18,208676,30,730,3/6/17,7:30 AM
164,70,32,79054,1480,826,3/6/17,8:26 AM
241,46,32,602298,30,901,3/6/17,9:01 AM
242,43,35,226480,30,910,3/6/17,9:10 AM
151,20,0,247987,125,946,3/6/17,9:46 AM
152,45,27,702778,440,955,3/6/17,9:55 AM
161,,,,,,,
104,,,,,,,
302,,,,,,,
202,,,,,,,
204,,,,,,,
207,,,,,,,
213,,,,,,,
