Well #,Discharge pressure [PSI],Flow [GPM],Meter reading ,Chloride [mg/L],Time (type in) ,Date,Time actual
70,29,301,292240,30,935,7/18/2017,9:35 AM
91,76,309,262226,300,900,7/18/2017,9:00 AM
83,94,98,909907,25,905,7/18/2017,9:05 AM
93,76,330,273217,30,855,7/18/2017,8:55 AM
168,92,258,265562,25,910,7/18/2017,9:10 AM
169,100,413,420017,25,915,7/18/2017,9:15 AM
119,72,270,99467,95,845,7/18/2017,8:45 AM
128,,,,,,,
129,142,23,728336,25,1108,7/18/2017,11:08 AM
62,2,207,215428,140,835,7/18/2017,8:35 AM
76,0,253,242854,130,826,7/18/2017,8:26 AM
84,9,322,241652,700,800,7/18/2017,8:00 AM
167,11,218,204562,135,815,7/18/2017,8:15 AM
177,51,377,368129,260,1134,7/18/2017,11:34 AM
178,85,96,919080,30,1014,7/18/2017,10:14 AM
85,45,311,378061,35,1055,7/18/2017,10:55 AM
89,25,160,185211,25,1045,7/18/2017,10:45 AM
61,0,273,279584,380,750,7/18/2017,7:50 AM
60,10,266,183982,360,740,7/18/2017,7:40 AM
66,20,291,248476,300,735,7/18/2017,7:35 AM
46,,,,,,,
33,,,450699,,731,7/18/2017,7:31 AM
77,14,273,210743,460,708,7/18/2017,7:08 AM
72,0,300,331515,30,715,7/18/2017,7:15 AM
81,5,299,232088,30,722,7/18/2017,7:22 AM
67,63,219,156966,30,1040,7/18/2017,10:40 AM
171,29,237,166232,440,1345,7/18/2017,1:45 PM
172,26,240,163645,500,1355,7/18/2017,1:55 PM
182,,,,,,,
179,58,30,897148,30,1014,7/18/2017,10:14 AM
101,45,463,654000,1000,841,7/18/2017,8:41 AM
105,39,108,545817,30,920,7/18/2017,9:20 AM
107,73,366,337371,60,915,7/18/2017,9:15 AM
163,54,154,275452,1000,905,7/18/2017,9:05 AM
165,71,193,177882,25,925,7/18/2017,9:25 AM
183,10,190,237530,25,935,7/18/2017,9:35 AM
143,,,482734,,1152,7/18/2017,11:52 AM
97,26,140,850765,1400,826,7/18/2017,8:26 AM
99,45,127,654000,35,956,7/18/2017,9:56 AM
176,,,138317,,733,7/18/2017,7:33 AM
170,,,177857,,750,7/18/2017,7:50 AM
180,,,434810,,750,7/18/2017,7:50 AM
164,65,32,140910,1420,839,7/18/2017,8:39 AM
241,44,30,,25,914,7/18/2017,9:14 AM
242,0,36,,25,920,7/18/2017,9:20 AM
151,55,0,247987,65,959,7/18/2017,9:59 AM
152,80,24,761063,480,1006,7/18/2017,10:06 AM
161,,,,,,,
104,,,283080,,1053,7/18/2017,10:53 AM
302,,,,,,,
202,,,,,,,
204,,,,,,,
207,,,,,,,
213,,,,,,,
