Well #,Discharge pressure [PSI],Flow [GPM],Meter reading ,Chloride [mg/L],Time (type in) ,Date,Time actual
70,30,384,306628,40,1115,8/21/17,11:15 AM
91,80,299,274293,35,1055,8/21/17,10:55 AM
83,98,225,976342,30,1100,8/21/17,11:00 AM
93,79,319,296364,35,1050,8/21/17,10:50 AM
168,98,255,275377,30,1105,8/21/17,11:05 AM
169,100,402,436298,30,1110,8/21/17,11:10 AM
119,72,260,109523,360,1045,8/21/17,10:45 AM
128,,,,,,,
129,141,22,140350,25,1000,8/21/17,10:00 AM
62,2,208,224133,115,916,8/21/17,9:16 AM
76,0,210,251840,115,921,8/21/17,9:21 AM
84,16,303,253901,560,936,8/21/17,9:36 AM
167,12,217,213522,110,928,8/21/17,9:28 AM
177,50,372,384787,320,1029,8/21/17,10:29 AM
178,84,95,962589,35,1035,8/21/17,10:35 AM
85,45,312,511054,35,954,8/21/17,9:54 AM
89,20,170,193034,30,931,8/21/17,9:31 AM
61,9,249,389939,460,1130,8/21/17,11:30 AM
60,14,316,196166,460,1125,8/21/17,11:25 AM
66,23,284,260818,320,1120,8/21/17,11:20 AM
46,,,,,,,
33,22,260,461311,360,1115,8/21/17,11:15 AM
77,15,274,222022,520,1110,8/21/17,11:10 AM
72,0,299,344375,75,1105,8/21/17,11:05 AM
81,8,300,245106,45,1056,8/21/17,10:56 AM
67,47,218,166936,35,925,8/21/17,9:25 AM
171,29,244,174434,500,1150,8/21/17,11:50 AM
172,25,245,173779,540,1145,8/21/17,11:45 AM
182,,,,,,,
179,88,10,906060,30,707,8/21/17,7:07 AM
101,40,470,847983,35,726,8/21/17,7:26 AM
105,49,100,586763,35,737,8/21/17,7:37 AM
107,73,380,352187,105,748,8/21/17,7:48 AM
163,56,158,336100,1300,738,8/21/17,7:38 AM
165,79,193,185868,35,800,8/21/17,8:00 AM
183,10,190,243119,30,805,8/21/17,8:05 AM
143,14,110,486554,25,1048,8/21/17,10:48 AM
97,28,160,857417,1700,825,8/21/17,8:25 AM
99,17,,,1140,832,8/21/17,8:32 AM
176,,,,,,,
170,38,12,181950,30,731,8/21/17,7:31 AM
180,0,16,440639,30,727,8/21/17,7:27 AM
164,65,34,154963,1540,816,8/21/17,8:16 AM
241,46,38,,30,842,8/21/17,8:42 AM
242,45,36,303030,30,850,8/21/17,8:50 AM
151,70,,247987,125,916,8/21/17,9:16 AM
152,99,48,775496,600,922,8/21/17,9:22 AM
161,,,,,,,
104,,,,,,,
302,,,,,,,
202,,,,,,,
204,,,,,,,
207,,,,,,,
213,,,,,,,
