Well #,Discharge pressure [PSI],Flow [GPM],Meter reading ,Chloride [mg/L],Time (type in) ,Date,Time actual
70,30,383,671942,35,830,1/26/16,8:30 AM
91,78,323,718032,35,815,1/26/16,8:15 AM
83,95,,,30,820,1/26/16,8:20 AM
93,82,247,680620,35,810,1/26/16,8:10 AM
168,94,255,758876,30,820,1/26/16,8:20 AM
169,100,422,107807,30,825,1/26/16,8:25 AM
119,90,260,900240,220,805,1/26/16,8:05 AM
128,,,,,,,
129,120,28,536840,20,1200,1/26/16,12:00 PM
62,1,248,377280,80,755,1/26/16,7:55 AM
76,0,245,436416,110,735,1/26/16,7:35 AM
84,10,258,250684,460,725,1/26/16,7:25 AM
167,5,246,356919,95,730,1/26/16,7:30 AM
177,51,430,999181,360,840,1/26/16,8:40 AM
178,80,97,167002,30,835,1/26/16,8:35 AM
85,60,320,193189,30,850,1/26/16,8:50 AM
89,42,180,57936,30,855,1/26/16,8:55 AM
61,0,220,725411,240,712,1/26/16,7:12 AM
60,25,250,421122,240,655,1/26/16,6:55 AM
66,20,285,578508,260,640,1/26/16,6:40 AM
46,30,,28078,90,635,1/26/16,6:35 AM
33,20,190,273975,240,630,1/26/16,6:30 AM
77,14,265,397607,300,615,1/26/16,6:15 AM
72,0,200,122711,45,620,1/26/16,6:20 AM
81,0,303,36131,35,625,1/26/16,6:25 AM
67,47,224,414965,35,900,1/26/16,9:00 AM
171,20,,,400,1215,1/26/16,12:15 PM
172,24,,,460,1210,1/26/16,12:10 PM
182,,,6662,,1030,1/26/16,10:30 AM
179,16,20,767308,25,930,1/26/16,9:30 AM
101,50,530,176126,40,940,1/26/16,9:40 AM
105,42,114,98017,30,1000,1/26/16,10:00 AM
107,41,410,598681,80,955,1/26/16,9:55 AM
163,130,150,259615,960,950,1/26/16,9:50 AM
165,78,200,262378,20,1010,1/26/16,10:10 AM
183,10,230,115521,20,1015,1/26/16,10:15 AM
143,,,429158,,1030,1/26/16,10:30 AM
97,18,200,707467,1500,1045,1/26/16,10:45 AM
99,,,805424,,1100,1/26/16,11:00 AM
176,,,,,,,
170,,,,,,,
180,,,,,,,
164,60,30,920910,1560,655,1/27/16,6:55 AM
241,,,,,,,
242,,,,,,,
151,35,,247987,60,725,1/27/16,7:25 AM
152,65,30,567214,640,730,1/27/16,7:30 AM
161,,,,,,,
104,40,20,232155,60,750,1/27/16,7:50 AM
302,,,,,,,
202,,,,,,,
204,,,,,,,
207,,,,,,,
213,,,,,,,
