Vaipito_Wx,,,,,,,,,
                    ,Solar Rad (wat/m2),RH (%),Temperature (*F),Rainfall (In),Wind Dir (Deg),Wind Gust (mph),Wind Speed (mph),Dew Point (*F),
7/21/2015 22:30,0,91.2,74.6,0.01,218,5,1,71.8,
7/21/2015 22:45,0,94.4,74.2,0.05,221,4,0,72.5,
7/21/2015 23:00,0,93.5,74.4,0.01,242,11,1,72.4,
7/21/2015 23:15,0,90.2,75,0,216,9,2,71.9,
7/21/2015 23:30,0,91,75,0,251,7,1,72.2,
7/21/2015 23:45,0,89.1,75.6,0,255,8,1,72.2,
7/22/2015 0:00,0,89.7,75.4,0,204,6,1,72.2,
7/22/2015 0:15,0,89,75.7,0,272,6,2,72.2,
7/22/2015 0:30,0,88.4,75.9,0,265,7,1,72.2,
7/22/2015 0:45,0,86.5,76,0,237,9,2,71.7,
7/22/2015 1:00,0,85.3,76.1,0,204,6,2,71.4,
7/22/2015 1:15,0,85.7,76.5,0,210,8,2,71.9,
7/22/2015 1:30,0,84.3,76.4,0,207,6,1,71.4,
7/22/2015 1:45,0,84.2,76.3,0,266,8,1,71.2,
7/22/2015 2:00,0,83.3,76.5,0,273,10,1,71.1,
7/22/2015 2:15,0,85.1,76.4,0,265,8,2,71.6,
7/22/2015 2:30,0,86.9,75.9,0.01,228,7,1,71.7,
7/22/2015 2:45,0,86.8,75.6,0,261,11,2,71.4,
7/22/2015 3:00,0,86.6,76.1,0,247,9,2,71.8,
7/22/2015 3:15,0,89.3,75.4,0.01,295,12,3,72,
7/22/2015 3:30,0,88,75.2,0,225,8,2,71.4,
7/22/2015 3:45,0,87.2,75.2,0,242,6,1,71.1,
7/22/2015 4:00,0,83.9,75.8,0,204,14,2,70.6,
7/22/2015 4:15,0,80.3,76.6,0,216,9,2,70.2,
7/22/2015 4:30,0,82.4,76.6,0,206,8,1,70.9,
7/22/2015 4:45,0,83.1,76,0,307,14,3,70.6,
7/22/2015 5:00,0,87.1,75,0.01,232,13,1,70.9,
7/22/2015 5:15,0,88.4,74.6,0,242,6,1,70.9,
7/22/2015 5:30,0,91.9,74.6,0.03,265,7,2,72.1,
7/22/2015 5:45,0,94.7,73.8,0.05,224,7,2,72.2,
7/22/2015 6:00,0,93.5,73.8,0.01,223,8,1,71.8,
7/22/2015 6:15,0,91.5,74.2,0,266,10,2,71.5,
7/22/2015 6:30,0,87.9,74.7,0,175,12,3,70.9,
7/22/2015 6:45,0,91.7,74.7,0.05,186,11,2,72.1,
7/22/2015 7:00,1,93.3,73.8,0,290,10,2,71.7,
7/22/2015 7:15,4,89.8,74.3,0,225,10,2,71.1,
7/22/2015 7:30,11,88.7,74.8,0.01,200,7,2,71.2,
7/22/2015 7:45,17,94.1,73.9,0.09,220,12,3,72.1,
7/22/2015 8:00,27,94.9,73.3,0.02,144,6,1,71.7,
7/22/2015 8:15,42,93.8,73.7,0,208,11,2,71.8,
7/22/2015 8:30,42,90.9,74.4,0,227,11,2,71.6,
7/22/2015 8:45,71,91.6,73.9,0.04,244,18,4,71.3,
7/22/2015 9:00,76,92.6,73.9,0.01,227,13,3,71.6,
7/22/2015 9:15,148,87.3,74.9,0,251,11,3,70.9,
7/22/2015 9:30,154,84.7,75.5,0,200,9,2,70.6,
7/22/2015 9:45,164,86.4,75.6,0.03,207,12,3,71.3,
7/22/2015 10:00,236,86.8,75.5,0,244,8,2,71.3,
7/22/2015 10:15,205,84,75.8,0,173,11,3,70.7,
7/22/2015 10:30,312,82.4,76.3,0,211,6,2,70.6,
7/22/2015 10:45,423,79.2,77.3,0,207,13,4,70.5,
7/22/2015 11:00,241,82.9,76.6,0,180,14,3,71.1,
7/22/2015 11:15,261,82.2,76.3,0,213,14,3,70.5,
7/22/2015 11:30,393,79.1,77.1,0,223,12,4,70.2,
7/22/2015 11:45,488,73.5,78.3,0,197,20,6,69.3,
7/22/2015 12:00,458,75.1,78.1,0,213,17,4,69.7,
7/22/2015 12:15,502,73.2,78.7,0,201,23,4,69.6,
7/22/2015 12:30,365,75.8,78.5,0,165,13,3,70.4,
7/22/2015 12:45,499,78,77.5,0,179,17,5,70.2,
7/22/2015 13:00,398,76.9,77.7,0,206,16,4,70,
7/22/2015 13:15,412,76.4,77.8,0,187,18,3,69.9,
7/22/2015 13:30,624,71.5,79.3,0,217,16,5,69.5,
7/22/2015 13:45,589,71.3,79.6,0,221,11,3,69.7,
7/22/2015 14:00,317,74.3,78.1,0,179,17,4,69.4,
7/22/2015 14:15,252,74.4,77.8,0,218,14,2,69.2,
7/22/2015 14:30,301,73.9,77.5,0,206,14,3,68.7,
7/22/2015 14:45,347,72.6,78.2,0,200,8,2,68.9,
7/22/2015 15:00,326,73.9,78.5,0,197,14,3,69.7,
7/22/2015 15:15,247,80.2,77.8,0,218,8,2,71.3,
7/22/2015 15:30,251,85.2,75.3,0.01,228,15,3,70.6,
7/22/2015 15:45,248,83.9,75.3,0,258,12,2,70.1,
7/22/2015 16:00,142,83.8,75.5,0,210,8,2,70.3,
7/22/2015 16:15,123,80.3,76,0,237,15,4,69.6,
7/22/2015 16:30,116,80.7,75.8,0,249,10,3,69.5,
7/22/2015 16:45,83,78.1,76.2,0,230,16,3,69,
7/22/2015 17:00,53,77.2,76.5,0,213,8,2,69,
7/22/2015 17:15,27,77.9,76.3,0,251,7,2,69,
7/22/2015 17:30,29,79.6,76.2,0,259,12,4,69.5,
7/22/2015 17:45,24,80.3,75.5,0,179,10,2,69.1,
7/22/2015 18:00,9,78.9,75.9,0,166,18,2,69,
7/22/2015 18:15,1,83.5,75.5,0,237,12,4,70.2,
7/22/2015 18:30,0,81.9,75,0,203,10,2,69.2,
7/22/2015 18:45,0,81.6,75.1,0,216,10,3,69.2,
7/22/2015 19:00,0,82.2,75.2,0,192,22,2,69.5,
7/22/2015 19:15,0,84.9,75.3,0.02,245,15,4,70.5,
7/22/2015 19:30,0,86.9,74.3,0,249,16,4,70.2,
7/22/2015 19:45,0,83.9,74.5,0,268,11,3,69.4,
7/22/2015 20:00,0,80.7,75.3,0,211,12,3,69,
7/22/2015 20:15,0,82.1,75.3,0,211,14,3,69.5,
7/22/2015 20:30,0,82.7,74.7,0,201,12,2,69.2,
7/22/2015 20:45,0,81.3,75.1,0,248,9,3,69.1,
7/22/2015 21:00,0,78.5,75.7,0,203,12,3,68.7,
7/22/2015 21:15,0,78.3,76,0,224,17,3,68.9,
7/22/2015 21:30,0,81.7,75.5,0,180,18,3,69.6,
7/22/2015 21:45,0,80.3,75.4,0,213,7,1,69,
7/22/2015 22:00,0,77.2,75.4,0,297,12,3,67.9,
7/22/2015 22:15,0,78.4,75.4,0,280,10,3,68.3,
7/22/2015 22:30,0,77.1,75.7,0,206,12,2,68.2,
7/22/2015 22:45,0,76.4,75.9,0,261,16,4,68.1,
7/22/2015 23:00,0,78.1,75.8,0,203,13,2,68.6,
7/22/2015 23:15,0,77,75.8,0,241,9,2,68.2,
7/22/2015 23:30,0,76.5,76,0,216,12,2,68.2,
7/22/2015 23:45,0,76.9,75.9,0,268,13,3,68.3,
7/23/2015 0:00,0,73.7,76,0,234,8,2,67.2,
7/23/2015 0:15,0,74.3,75.9,0,273,15,3,67.3,
7/23/2015 0:30,0,75.9,75.7,0,302,8,2,67.7,
7/23/2015 0:45,0,81.7,74.4,0,224,6,1,68.5,
7/23/2015 1:00,0,82.6,74,0,148,8,1,68.4,
7/23/2015 1:15,0,81.1,74.6,0,238,12,3,68.5,
7/23/2015 1:30,0,79.6,74.7,0,290,8,1,68.1,
7/23/2015 1:45,0,77.3,75.2,0,245,7,2,67.7,
7/23/2015 2:00,0,77.2,75.3,0,234,9,3,67.8,
7/23/2015 2:15,0,76.5,75.3,0,228,6,2,67.5,
7/23/2015 2:30,0,75.2,75.3,0,254,9,2,67.1,
7/23/2015 2:45,0,75.5,75.1,0,242,8,2,67,
7/23/2015 3:00,0,76.4,74.8,0,237,7,2,67,
7/23/2015 3:15,0,78.1,75,0,241,12,3,67.8,
7/23/2015 3:30,0,81.7,74.3,0,237,13,3,68.4,
7/23/2015 3:45,0,82,74.5,0,225,12,5,68.7,
7/23/2015 4:00,0,85.8,74,0,234,17,3,69.5,
7/23/2015 4:15,0,84.3,73.8,0,179,11,2,68.8,
7/23/2015 4:30,0,82.3,74.5,0,208,15,3,68.8,
7/23/2015 4:45,0,83.4,74,0,255,14,3,68.7,
7/23/2015 5:00,0,83,74,0,244,14,3,68.6,
7/23/2015 5:15,0,79.8,74.4,0,186,19,4,67.9,
7/23/2015 5:30,0,79.6,74.6,0,240,12,3,68,
7/23/2015 5:45,0,80.1,74.6,0,196,18,4,68.2,
7/23/2015 6:00,0,80.4,74.6,0,169,17,4,68.3,
7/23/2015 6:15,0,78.5,74.4,0,259,12,4,67.4,
7/23/2015 6:30,0,77,74.6,0,220,21,5,67,
7/23/2015 6:45,0,79,74.6,0,210,10,3,67.8,
7/23/2015 7:00,4,78,74.7,0,193,11,3,67.5,
7/23/2015 7:15,10,77.3,75,0,175,14,2,67.5,
7/23/2015 7:30,20,77.1,74.9,0,238,11,2,67.4,
7/23/2015 7:45,39,76,75.3,0,232,17,4,67.4,
7/23/2015 8:00,47,81.1,74.6,0,230,14,2,68.5,
7/23/2015 8:15,102,77.7,74.6,0,211,16,3,67.3,
7/23/2015 8:30,92,75,75.5,0,221,9,2,67.2,
7/23/2015 8:45,181,74.2,76,0,179,10,2,67.4,
7/23/2015 9:00,230,72.6,76.6,0,238,9,3,67.3,
7/23/2015 9:15,280,72.1,76.8,0,247,14,4,67.3,
7/23/2015 9:30,411,68.2,77.9,0,271,9,3,66.8,
7/23/2015 9:45,283,71.9,77.5,0,232,11,3,67.9,
7/23/2015 10:00,464,70.1,77.8,0,224,13,4,67.5,
7/23/2015 10:15,251,70.6,77.4,0,251,16,3,67.3,
7/23/2015 10:30,185,71,77.1,0,237,12,3,67.2,
7/23/2015 10:45,257,69.2,77,0,221,12,4,66.3,
7/23/2015 11:00,239,71.4,77,0,214,13,3,67.2,
7/23/2015 11:15,568,66,78.3,0,230,12,3,66.2,
7/23/2015 11:30,387,67.8,78.5,0,218,14,3,67.2,
7/23/2015 11:45,490,66.9,78.4,0,242,9,3,66.7,
7/23/2015 12:00,304,69.1,78.1,0,216,13,4,67.4,
7/23/2015 12:15,276,69.4,77.3,0,261,9,3,66.7,
7/23/2015 12:30,426,65.6,78.2,0,244,13,3,66,
7/23/2015 12:45,350,66.9,78.3,0,211,13,3,66.6,
7/23/2015 13:00,324,67.9,77.9,0,224,10,3,66.7,
7/23/2015 13:15,487,67.4,78.3,0,228,19,4,66.8,
7/23/2015 13:30,290,68,78.5,0,238,10,3,67.3,
7/23/2015 13:45,289,68.4,77.7,0,251,8,3,66.7,
7/23/2015 14:00,311,68.9,77.8,0,206,9,2,67,
7/23/2015 14:15,349,69,77.7,0,224,13,3,66.9,
7/23/2015 14:30,465,66.5,78.4,0,240,11,3,66.6,
7/23/2015 14:45,323,70.1,77.5,0,201,17,4,67.2,
7/23/2015 15:00,366,66.5,77.9,0,199,13,3,66.1,
7/23/2015 15:15,276,67,77.6,0,223,11,3,66,
7/23/2015 15:30,268,66.5,77.1,0,221,14,3,65.3,
7/23/2015 15:45,343,66.2,77.4,0,182,17,4,65.5,
7/23/2015 16:00,290,65.8,77.4,0,201,9,2,65.3,
7/23/2015 16:15,168,67.8,76.9,0,196,18,4,65.7,
7/23/2015 16:30,192,65.5,76.5,0,223,22,5,64.3,
7/23/2015 16:45,122,66.8,76.6,0,214,15,3,65,
7/23/2015 17:00,47,68.3,76.3,0,180,12,2,65.3,
7/23/2015 17:15,49,67.4,76.2,0,244,15,3,64.8,
7/23/2015 17:30,31,67.2,76.3,0,190,16,3,64.8,
7/23/2015 17:45,24,69.6,75.8,0,203,13,2,65.4,
7/23/2015 18:00,7,71.7,75.7,0,166,15,3,66.1,
7/23/2015 18:15,0,70.7,75.5,0,232,15,4,65.5,
7/23/2015 18:30,0,70.7,75.7,0,200,9,3,65.7,
7/23/2015 18:45,0,68.9,75.7,0,249,9,3,65,
7/23/2015 19:00,0,72.2,75.7,0,231,11,3,66.3,
7/23/2015 19:15,0,73,75.2,0,258,9,3,66.1,
7/23/2015 19:30,0,72.1,75.3,0,247,12,3,65.9,
7/23/2015 19:45,0,76.7,74.9,0,247,14,3,67.2,
7/23/2015 20:00,0,76.6,74.2,0,269,13,3,66.5,
7/23/2015 20:15,0,80,73.9,0,218,7,2,67.4,
7/23/2015 20:30,0,80.9,73.6,0,252,7,2,67.5,
7/23/2015 20:45,0,77.7,73.9,0,278,13,3,66.6,
7/23/2015 21:00,0,81.9,74.1,0.01,234,13,2,68.3,
7/23/2015 21:15,0,84.3,73,0,216,10,2,68,
7/23/2015 21:30,0,81.5,73.5,0,204,8,2,67.6,
7/23/2015 21:45,0,77.5,74.1,0,225,8,2,66.7,
7/23/2015 22:00,0,75.2,74.6,0,184,6,2,66.4,
7/23/2015 22:15,0,74.3,74.9,0,276,9,2,66.3,
7/23/2015 22:30,0,75,75,0,232,9,2,66.7,
7/23/2015 22:45,0,76.9,74.9,0,245,12,3,67.3,
7/23/2015 23:00,0,78.4,74.6,0,266,11,2,67.6,
7/23/2015 23:15,0,76.8,74.6,0,207,5,1,67,
7/23/2015 23:30,0,74.8,74.9,0,295,9,2,66.5,
7/23/2015 23:45,0,81.7,74.6,0,238,7,2,68.7,
7/24/2015 0:00,0,85.9,73,0.02,261,11,2,68.6,
7/24/2015 0:15,0,85.6,72.6,0,234,5,1,68.1,
7/24/2015 0:30,0,85.9,73.4,0,269,9,3,68.9,
7/24/2015 0:45,0,85.2,73.4,0,237,9,2,68.7,
7/24/2015 1:00,0,84,73.6,0,189,11,3,68.5,
7/24/2015 1:15,0,78.1,74.8,0,196,13,4,67.6,
7/24/2015 1:30,0,76.3,74.9,0,247,8,2,67.1,
7/24/2015 1:45,0,76.9,74.9,0,254,15,2,67.3,
7/24/2015 2:00,0,74.4,75.1,0,168,10,1,66.6,
7/24/2015 2:15,0,73.3,75.2,0,224,9,1,66.2,
7/24/2015 2:30,0,74.3,75.1,0,265,9,1,66.5,
7/24/2015 2:45,0,73,75,0,204,3,0,65.9,
7/24/2015 3:00,0,72.8,75.1,0,201,4,1,66,
7/24/2015 3:15,0,72.9,75.2,0,223,7,1,66.1,
7/24/2015 3:30,0,72.1,75.3,0,256,8,1,65.9,
7/24/2015 3:45,0,72.6,75.3,0,220,6,1,66.1,
7/24/2015 4:00,0,72.4,75.5,0,225,6,1,66.2,
7/24/2015 4:15,0,72.1,75.7,0,240,7,1,66.3,
7/24/2015 4:30,0,72.6,75.7,0,203,7,1,66.5,
7/24/2015 4:45,0,75.6,75.7,0,269,8,2,67.6,
7/24/2015 5:00,0,75.1,75.3,0,221,9,2,67,
7/24/2015 5:15,0,74.5,75.3,0,218,8,1,66.8,
7/24/2015 5:30,0,74.9,75.3,0,227,9,2,66.9,
7/24/2015 5:45,0,74.9,75.2,0,242,8,2,66.8,
7/24/2015 6:00,0,76.1,75.2,0,206,8,2,67.3,
7/24/2015 6:15,0,79.3,74.8,0,183,4,0,68.1,
7/24/2015 6:30,0,79.3,74.1,0,235,3,1,67.4,
7/24/2015 6:45,0,77.9,74.1,0,176,4,0,66.9,
7/24/2015 7:00,3,77.1,74.8,0,208,8,1,67.3,
7/24/2015 7:15,14,76.2,75,0,220,8,2,67.1,
7/24/2015 7:30,27,77.8,75.1,0,278,6,2,67.8,
7/24/2015 7:45,36,75.5,75.4,0,278,12,4,67.3,
7/24/2015 8:00,69,77.1,75.7,0,228,9,3,68.2,
7/24/2015 8:15,84,76.7,75.8,0,211,10,3,68.1,
7/24/2015 8:30,168,73.8,76.4,0,175,7,1,67.6,
7/24/2015 8:45,178,71.6,77.1,0,231,6,1,67.4,
7/24/2015 9:00,197,71.7,76.9,0,265,11,2,67.3,
7/24/2015 9:15,166,73.4,77,0,211,7,2,68,
7/24/2015 9:30,138,75.5,76.7,0,251,14,3,68.5,
7/24/2015 9:45,302,75,76.6,0,248,8,2,68.2,
7/24/2015 10:00,290,73.3,77.5,0,240,9,1,68.5,
7/24/2015 10:15,502,68.5,79.1,0,265,7,1,68.1,
7/24/2015 10:30,680,67.4,80.3,0,235,8,2,68.8,
7/24/2015 10:45,548,66.5,80.7,0,184,8,2,68.8,
7/24/2015 11:00,297,75.5,78.9,0,206,6,2,70.7,
7/24/2015 11:15,379,76.3,76.9,0,210,5,1,69,
7/24/2015 11:30,612,70.9,78.9,0,223,7,1,68.9,
7/24/2015 11:45,492,71.3,79.4,0,207,12,2,69.5,
7/24/2015 12:00,555,70.6,80.1,0,225,10,2,69.9,
7/24/2015 12:15,366,70.5,79.6,0,251,11,3,69.4,
7/24/2015 12:30,485,70.7,78.8,0,278,9,2,68.7,
7/24/2015 12:45,592,65.4,80.7,0,213,7,2,68.3,
7/24/2015 13:00,845,63.3,81.3,0,245,12,3,67.9,
7/24/2015 13:15,736,65.7,81.5,0,271,9,3,69.2,
7/24/2015 13:30,250,76.7,78.8,0.01,228,10,2,71,
7/24/2015 13:45,517,75.1,77.5,0,228,9,2,69.2,
7/24/2015 14:00,641,70,79.4,0,248,7,1,69,
7/24/2015 14:15,537,68.8,79.7,0,213,17,2,68.8,
7/24/2015 14:30,336,71.1,79.5,0,240,9,2,69.5,
7/24/2015 14:45,457,68.5,79.5,0,258,11,2,68.5,
7/24/2015 15:00,309,71.1,79.2,0,256,8,2,69.2,
7/24/2015 15:15,309,70.8,78.6,0,227,11,2,68.5,
7/24/2015 15:30,345,70.9,79.1,0,271,9,2,69.1,
7/24/2015 15:45,267,71.9,78.7,0,230,8,2,69.1,
7/24/2015 16:00,162,74.3,77.8,0,228,7,1,69.1,
7/24/2015 16:15,176,71.9,77.9,0,216,7,2,68.3,
7/24/2015 16:30,105,75.6,77.7,0,271,10,2,69.5,
7/24/2015 16:45,99,82,76.6,0.01,268,9,2,70.8,
7/24/2015 17:00,122,83.6,75.7,0,225,11,2,70.4,
7/24/2015 17:15,79,81.2,75.9,0,216,10,2,69.8,
7/24/2015 17:30,27,81.6,76,0,259,9,1,70,
7/24/2015 17:45,24,79.5,76,0,213,6,2,69.3,
7/24/2015 18:00,16,78.9,76.1,0,275,9,2,69.2,
7/24/2015 18:15,3,83.5,76,0.05,249,6,1,70.7,
7/24/2015 18:30,0,86.6,74.9,0,225,5,1,70.7,
7/24/2015 18:45,0,84.1,74.8,0,192,4,1,69.7,
7/24/2015 19:00,0,83.6,75,0,183,7,1,69.8,
7/24/2015 19:15,0,82.1,75.2,0,213,7,1,69.4,
7/24/2015 19:30,0,79.2,75.4,0,177,5,1,68.6,
7/24/2015 19:45,0,77.2,76.1,0,211,7,2,68.6,
7/24/2015 20:00,0,75.9,76,0,235,7,2,68,
7/24/2015 20:15,0,75.9,76.2,0,156,5,0,68.2,
7/24/2015 20:30,0,75.1,76.3,0,230,5,1,68,
7/24/2015 20:45,0,75.1,76.6,0,203,5,1,68.3,
7/24/2015 21:00,0,75.6,76.5,0,249,5,1,68.4,
7/24/2015 21:15,0,76.2,76.4,0,272,7,1,68.5,
7/24/2015 21:30,0,75.2,76.5,0,210,5,1,68.2,
7/24/2015 21:45,0,74.9,76.5,0,241,5,1,68.1,
7/24/2015 22:00,0,74,76.4,0,223,6,1,67.7,
7/24/2015 22:15,0,75,76.5,0,201,4,1,68.1,
7/24/2015 22:30,0,74.5,76.4,0,265,5,1,67.9,
7/24/2015 22:45,0,74.1,76.7,0,223,8,1,68,
7/24/2015 23:00,0,75.5,76.6,0,241,4,1,68.4,
7/24/2015 23:15,0,76.6,76.6,0,251,6,1,68.8,
7/24/2015 23:30,0,75.5,76.5,0,192,4,0,68.3,
7/24/2015 23:45,0,76.5,76.6,0,208,4,0,68.8,
7/25/2015 0:00,0,75,76.5,0,210,6,1,68.1,
7/25/2015 0:15,0,78.1,76.4,0,228,4,0,69.2,
7/25/2015 0:30,0,77.2,76.4,0,194,3,0,68.9,
7/25/2015 0:45,0,84.8,75.2,0.01,213,4,0,70.4,
7/25/2015 1:00,0,85.4,74.4,0,227,4,0,69.8,
7/25/2015 1:15,0,85.7,74.3,0,176,3,0,69.8,
7/25/2015 1:30,0,83.6,75,0,183,5,1,69.8,
7/25/2015 1:45,0,81.8,75.3,0,182,4,0,69.4,
7/25/2015 2:00,0,80.9,75.6,0,194,4,1,69.4,
7/25/2015 2:15,0,80.7,75.7,0,193,6,1,69.4,
7/25/2015 2:30,0,80.5,75.9,0,206,6,1,69.6,
7/25/2015 2:45,0,77.9,75.6,0,216,5,1,68.3,
7/25/2015 3:00,0,79.5,75.8,0,162,5,1,69.1,
7/25/2015 3:15,0,77.8,75.8,0,199,6,1,68.5,
7/25/2015 3:30,0,77.8,75.8,0,201,5,1,68.5,
7/25/2015 3:45,0,78.4,75.7,0,193,6,1,68.6,
7/25/2015 4:00,0,78.8,75.5,0,153,2,0,68.6,
7/25/2015 4:15,0,78.2,75.5,0,176,4,0,68.4,
7/25/2015 4:30,0,82.6,75.7,0,249,8,2,70.1,
7/25/2015 4:45,0,81.4,74.9,0,189,4,0,68.9,
7/25/2015 5:00,0,82.6,74.9,0,168,11,1,69.3,
7/25/2015 5:15,0,82.6,74.8,0,203,8,0,69.2,
7/25/2015 5:30,0,81.8,75.3,0,230,5,0,69.4,
7/25/2015 5:45,0,84.8,75.3,0.03,220,7,0,70.4,
7/25/2015 6:00,0,84.8,74.6,0,192,4,0,69.8,
7/25/2015 6:15,0,85.6,74.6,0,153,4,0,70,
7/25/2015 6:30,0,85.7,74.7,0,197,4,0,70.2,
7/25/2015 6:45,0,85.2,74.9,0,227,4,0,70.2,
7/25/2015 7:00,3,82.7,75.1,0,204,5,0,69.5,
7/25/2015 7:15,7,83.7,75.3,0,207,3,0,70.1,
7/25/2015 7:30,29,84.2,75,0,237,4,0,70,
7/25/2015 7:45,26,83.7,75.2,0,275,7,1,70,
7/25/2015 8:00,68,82,75.7,0,232,7,1,69.9,
7/25/2015 8:15,74,81.3,76.2,0,248,4,0,70.1,
7/25/2015 8:30,133,78.4,76.7,0,235,6,1,69.6,
7/25/2015 8:45,196,77.5,77.2,0,207,6,1,69.8,
7/25/2015 9:00,166,80,77.4,0,288,8,1,70.9,
7/25/2015 9:15,185,77.8,77.7,0,231,8,1,70.4,
7/25/2015 9:30,185,76.4,77.8,0,245,7,1,69.9,
7/25/2015 9:45,395,75.8,78.4,0,245,12,2,70.3,
7/25/2015 10:00,302,77.9,79,0,245,19,3,71.7,
7/25/2015 10:15,231,79.6,77.9,0,276,8,2,71.2,
7/25/2015 10:30,436,76.6,78.1,0,214,13,2,70.3,
7/25/2015 10:45,481,75.5,79.5,0,221,11,2,71.2,
7/25/2015 11:00,707,70.6,80.6,0,256,10,2,70.4,
7/25/2015 11:15,261,82.6,78.6,0.01,273,11,3,72.9,
7/25/2015 11:30,242,87.3,76.2,0.01,192,7,2,72.2,
7/25/2015 11:45,591,86,76.7,0,227,9,1,72.2,
7/25/2015 12:00,778,76.4,79.5,0,247,9,2,71.6,
7/25/2015 12:15,740,75.6,80.2,0,242,13,2,72,
7/25/2015 12:30,483,76.9,79.9,0,197,6,2,72.2,
7/25/2015 12:45,407,76.2,79.5,0,254,8,2,71.5,
7/25/2015 13:00,571,73.6,79.7,0,196,7,2,70.7,
7/25/2015 13:15,584,72.8,80.9,0,232,11,2,71.6,
7/25/2015 13:30,420,73.8,80.6,0,223,8,2,71.7,
7/25/2015 13:45,687,70.2,81,0,256,11,3,70.6,
7/25/2015 14:00,244,76.2,79.7,0,265,7,2,71.7,
7/25/2015 14:15,304,76.9,78.5,0,278,9,2,70.8,
7/25/2015 14:30,234,76.9,78.8,0,256,15,3,71.1,
7/25/2015 14:45,265,76.8,78.8,0,266,13,3,71.1,
7/25/2015 15:00,297,76,78.4,0,173,12,2,70.4,
7/25/2015 15:15,319,75.4,79.3,0,282,6,2,71,
7/25/2015 15:30,165,78.7,78.3,0,244,10,2,71.3,
7/25/2015 15:45,114,80.4,77.8,0,240,14,3,71.4,
