ASPA_solar_rad,Unnamed: 1
                    ,Solar Rad (wat/m2)
                    ,wat/m2
Date and Time   ,SRD
2016-06-07 09:00:00,133
2016-06-07 09:15:00,116
2016-06-07 09:30:00,91
2016-06-07 09:45:00,97
2016-06-07 10:00:00,92
2016-06-07 10:15:00,80
2016-06-07 10:30:00,136
2016-06-07 10:45:00,200
2016-06-07 11:00:00,239
2016-06-07 11:15:00,256
2016-06-07 11:30:00,277
2016-06-07 11:45:00,445
2016-06-07 12:00:00,555
2016-06-07 12:15:00,270
2016-06-07 12:30:00,540
2016-06-07 12:45:00,477
2016-06-07 13:00:00,350
2016-06-07 13:15:00,284
2016-06-07 13:30:00,582
2016-06-07 13:45:00,430
2016-06-07 14:00:00,262
2016-06-07 14:15:00,393
2016-06-07 14:30:00,351
2016-06-07 14:45:00,343
2016-06-07 15:00:00,164
2016-06-07 15:15:00,394
2016-06-07 15:30:00,377
2016-06-07 15:45:00,145
2016-06-07 16:00:00,193
2016-06-07 16:15:00,101
2016-06-07 16:30:00,114
2016-06-07 16:45:00,31
2016-06-07 17:00:00,36
2016-06-07 17:15:00,21
2016-06-07 17:30:00,21
2016-06-07 17:45:00,6
2016-06-07 18:00:00,1
2016-06-07 18:15:00,0
2016-06-07 18:30:00,0
2016-06-07 18:45:00,0
2016-06-07 19:00:00,0
2016-06-07 19:15:00,0
2016-06-07 19:30:00,0
2016-06-07 19:45:00,0
2016-06-07 20:00:00,0
2016-06-07 20:15:00,0
2016-06-07 20:30:00,0
2016-06-07 20:45:00,0
2016-06-07 21:00:00,0
2016-06-07 21:15:00,0
2016-06-07 21:30:00,0
2016-06-07 21:45:00,0
2016-06-07 22:00:00,0
2016-06-07 22:15:00,0
2016-06-07 22:30:00,0
2016-06-07 22:45:00,0
2016-06-07 23:00:00,0
2016-06-07 23:15:00,0
2016-06-07 23:30:00,0
2016-06-07 23:45:00,0
2016-06-08 00:00:00,0
2016-06-08 00:15:00,0
2016-06-08 00:30:00,0
2016-06-08 00:45:00,0
2016-06-08 01:00:00,0
2016-06-08 01:15:00,0
2016-06-08 01:30:00,0
2016-06-08 01:45:00,0
2016-06-08 02:00:00,0
2016-06-08 02:15:00,0
2016-06-08 02:30:00,0
2016-06-08 02:45:00,0
2016-06-08 03:00:00,0
2016-06-08 03:15:00,0
2016-06-08 03:30:00,0
2016-06-08 03:45:00,0
2016-06-08 04:00:00,0
2016-06-08 04:15:00,0
2016-06-08 04:30:00,0
2016-06-08 04:45:00,0
2016-06-08 05:00:00,0
2016-06-08 05:15:00,0
2016-06-08 05:30:00,0
2016-06-08 05:45:00,0
2016-06-08 06:00:00,0
2016-06-08 06:15:00,0
2016-06-08 06:30:00,0
2016-06-08 06:45:00,3
2016-06-08 07:00:00,6
2016-06-08 07:15:00,10
2016-06-08 07:30:00,41
2016-06-08 07:45:00,35
2016-06-08 08:00:00,53
2016-06-08 08:15:00,54
2016-06-08 08:30:00,80
2016-06-08 08:45:00,97
2016-06-08 09:00:00,146
2016-06-08 09:15:00,112
2016-06-08 09:30:00,92
2016-06-08 09:45:00,98
2016-06-08 10:00:00,91
2016-06-08 10:15:00,107
2016-06-08 10:30:00,96
2016-06-08 10:45:00,268
2016-06-08 11:00:00,175
2016-06-08 11:15:00,122
2016-06-08 11:30:00,138
2016-06-08 11:45:00,191
2016-06-08 12:00:00,105
2016-06-08 12:15:00,105
2016-06-08 12:30:00,128
2016-06-08 12:45:00,169
2016-06-08 13:00:00,160
2016-06-08 13:15:00,160
2016-06-08 13:30:00,222
2016-06-08 13:45:00,91
2016-06-08 14:00:00,213
2016-06-08 14:15:00,133
