"Date","Time, GMT-11:00","Abs Pres, psi","Temp, °F","Coupler Detached","Coupler Attached","Host Connected","Stopped","End Of File"
08/16/17,04:30:00 PM,14.5982,92.550,Logged,,,,
08/16/17,04:45:00 PM,16.7681,80.206,,,,,
08/16/17,05:00:00 PM,16.7665,79.678,,,,,
08/16/17,05:15:00 PM,16.7617,79.678,,,,,
08/16/17,05:30:00 PM,16.7659,79.502,,,,,
08/16/17,05:45:00 PM,16.7706,79.502,,,,,
08/16/17,06:00:00 PM,16.7800,79.502,,,,,
08/16/17,06:15:00 PM,16.7823,79.502,,,,,
08/16/17,06:30:00 PM,16.7846,79.502,,,,,
08/16/17,06:45:00 PM,16.7800,79.502,,,,,
08/16/17,07:00:00 PM,16.7823,79.502,,,,,
08/16/17,07:15:00 PM,16.7870,79.502,,,,,
08/16/17,07:30:00 PM,16.7941,79.502,,,,,
08/16/17,07:45:00 PM,16.7987,79.502,,,,,
08/16/17,08:00:00 PM,16.8035,79.502,,,,,
08/16/17,08:15:00 PM,16.8058,79.502,,,,,
08/16/17,08:30:00 PM,16.8035,79.502,,,,,
08/16/17,08:45:00 PM,16.8010,79.502,,,,,
08/16/17,09:00:00 PM,16.8058,79.502,,,,,
08/16/17,09:15:00 PM,16.8152,79.502,,,,,
08/16/17,09:30:00 PM,16.8199,79.502,,,,,
08/16/17,09:45:00 PM,16.8222,79.502,,,,,
08/16/17,10:00:00 PM,16.8245,79.502,,,,,
08/16/17,10:15:00 PM,16.8035,79.502,,,,,
08/16/17,10:30:00 PM,16.7917,79.502,,,,,
08/16/17,10:45:00 PM,16.7870,79.502,,,,,
08/16/17,11:00:00 PM,16.7894,79.502,,,,,
08/16/17,11:15:00 PM,16.7894,79.502,,,,,
08/16/17,11:30:00 PM,16.7941,79.502,,,,,
08/16/17,11:45:00 PM,16.8035,79.502,,,,,
08/17/17,12:00:00 AM,16.8222,79.502,,,,,
08/17/17,12:15:00 AM,16.8340,79.502,,,,,
08/17/17,12:30:00 AM,16.8386,79.502,,,,,
08/17/17,12:45:00 AM,16.8411,79.502,,,,,
08/17/17,01:00:00 AM,16.8480,79.502,,,,,
08/17/17,01:15:00 AM,16.8503,79.502,,,,,
08/17/17,01:30:00 AM,16.8528,79.502,,,,,
08/17/17,01:45:00 AM,16.8551,79.502,,,,,
08/17/17,02:00:00 AM,16.8598,79.502,,,,,
08/17/17,02:15:00 AM,16.8644,79.502,,,,,
08/17/17,02:30:00 AM,16.8644,79.502,,,,,
08/17/17,02:45:00 AM,16.8621,79.502,,,,,
08/17/17,03:00:00 AM,16.8692,79.502,,,,,
08/17/17,03:15:00 AM,16.8786,79.502,,,,,
08/17/17,03:30:00 AM,16.8833,79.502,,,,,
08/17/17,03:45:00 AM,16.8904,79.502,,,,,
08/17/17,04:00:00 AM,16.8904,79.502,,,,,
08/17/17,04:15:00 AM,16.8950,79.502,,,,,
08/17/17,04:30:00 AM,16.8927,79.502,,,,,
08/17/17,04:45:00 AM,16.8950,79.502,,,,,
08/17/17,05:00:00 AM,16.8950,79.502,,,,,
08/17/17,05:15:00 AM,16.8973,79.502,,,,,
08/17/17,05:30:00 AM,16.8927,79.502,,,,,
08/17/17,05:45:00 AM,16.8904,79.502,,,,,
08/17/17,06:00:00 AM,16.8904,79.502,,,,,
08/17/17,06:15:00 AM,16.8904,79.502,,,,,
08/17/17,06:30:00 AM,16.8856,79.502,,,,,
08/17/17,06:45:00 AM,16.9068,79.502,,,,,
08/17/17,07:00:00 AM,16.9091,79.502,,,,,
08/17/17,07:15:00 AM,16.9114,79.502,,,,,
08/17/17,07:30:00 AM,16.9137,79.502,,,,,
08/17/17,07:45:00 AM,16.9114,79.502,,,,,
08/17/17,08:00:00 AM,16.9185,79.502,,,,,
08/17/17,08:15:00 AM,16.9214,79.678,,,,,
08/17/17,08:30:00 AM,16.9137,79.502,,,,,
08/17/17,08:45:00 AM,16.9185,79.502,,,,,
08/17/17,09:00:00 AM,16.9231,79.502,,,,,
08/17/17,09:15:00 AM,16.9237,79.678,,,,,
