"Date Time, GMT-11:00","Abs Pres, kPa","Temp, °C","Coupler Detached","Coupler Attached","Host Connected","Stopped","End Of File"
10/05/18 10:30:00 AM,101.890,26.390,Logged,,,,
10/05/18 10:45:00 AM,101.858,25.708,,,,,
10/05/18 11:00:00 AM,101.843,25.708,,,,,
10/05/18 11:15:00 AM,101.821,25.902,,,,,
10/05/18 11:30:00 AM,101.791,25.902,,,,,
10/05/18 11:45:00 AM,101.738,26.097,,,,,
10/05/18 12:00:00 PM,101.727,26.195,,,,,
10/05/18 12:15:00 PM,101.706,26.390,,,,,
10/05/18 12:30:00 PM,101.649,26.488,,,,,
10/05/18 12:45:00 PM,101.653,26.585,,,,,
10/05/18 01:00:00 PM,101.612,26.683,,,,,
10/05/18 01:15:00 PM,101.601,26.781,,,,,
10/05/18 01:30:00 PM,101.560,26.879,,,,,
10/05/18 01:45:00 PM,101.560,26.879,,,,,
10/05/18 02:00:00 PM,101.533,26.977,,,,,
10/05/18 02:15:00 PM,101.507,27.075,,,,,
10/05/18 02:30:00 PM,101.496,27.173,,,,,
10/05/18 02:45:00 PM,101.496,27.173,,,,,
10/05/18 03:00:00 PM,101.481,27.173,,,,,
10/05/18 03:15:00 PM,101.501,27.272,,,,,
10/05/18 03:30:00 PM,101.486,27.272,,,,,
10/05/18 03:45:00 PM,101.486,27.272,,,,,
10/05/18 04:00:00 PM,101.496,27.173,,,,,
10/05/18 04:15:00 PM,101.496,27.173,,,,,
10/05/18 04:30:00 PM,101.512,27.173,,,,,
10/05/18 04:45:00 PM,101.523,27.075,,,,,
10/05/18 05:00:00 PM,101.553,27.075,,,,,
10/05/18 05:15:00 PM,101.569,27.075,,,,,
10/05/18 05:30:00 PM,101.564,26.977,,,,,
10/05/18 05:45:00 PM,101.590,26.879,,,,,
10/05/18 06:00:00 PM,101.590,26.879,,,,,
10/05/18 06:15:00 PM,101.586,26.781,,,,,
10/05/18 06:30:00 PM,101.612,26.683,,,,,
10/05/18 06:45:00 PM,101.623,26.585,,,,,
10/05/18 07:00:00 PM,101.618,26.488,,,,,
10/05/18 07:15:00 PM,101.644,26.390,,,,,
10/05/18 07:30:00 PM,101.644,26.390,,,,,
10/05/18 07:45:00 PM,101.655,26.292,,,,,
10/05/18 08:00:00 PM,101.651,26.195,,,,,
10/05/18 08:15:00 PM,101.666,26.195,,,,,
10/05/18 08:30:00 PM,101.677,26.097,,,,,
10/05/18 08:45:00 PM,101.672,26.000,,,,,
10/05/18 09:00:00 PM,101.672,26.000,,,,,
10/05/18 09:15:00 PM,101.683,25.902,,,,,
10/05/18 09:30:00 PM,101.698,25.902,,,,,
10/05/18 09:45:00 PM,101.740,25.805,,,,,
10/05/18 10:00:00 PM,101.725,25.805,,,,,
10/05/18 10:15:00 PM,101.720,25.708,,,,,
10/05/18 10:30:00 PM,101.720,25.708,,,,,
10/05/18 10:45:00 PM,101.700,25.610,,,,,
10/05/18 11:00:00 PM,101.716,25.610,,,,,
10/05/18 11:15:00 PM,101.680,25.513,,,,,
10/05/18 11:30:00 PM,101.680,25.513,,,,,
